1757_acc_x	1757_acc_y	1757_acc_z	1757_gyro_x	1757_gyro_y	1757_gyro_z	1757_mag_x	1757_mag_y	1757_mag_z	1758_acc_x	1758_acc_y	1758_acc_z	1758_gyro_x	1758_gyro_y	1758_gyro_z	1758_mag_x	1758_mag_y	1758_mag_z	1759_acc_x	1759_acc_y	1759_acc_z	1759_gyro_x	1759_gyro_y	1759_gyro_z	1759_mag_x	1759_mag_y	1759_mag_z
-2.93026	1.312714	12.125047	-12.124142	73.206763	-10.613323	0.89791	0.192792	-1.428244	2.478166	0.830111	9.787187	0.512566	-0.803576	1.9757	0.162242	-0.399286	-1.030384	10.735371	1.629227	0.329026	-4.812976	-3.459762	-16.122591	-0.588659	-0.28437	-0.416611
-3.272383	0.911114	12.17353	-7.511358	84.396213	-9.156551	0.868355	-0.481475	-0.692479	2.415873	0.773699	9.559372	-3.963726	-0.613681	1.758189	-0.076204	0.185438	-1.320575	10.553516	1.802871	0.086839	-5.179492	-4.433529	-19.691961	-0.518869	-0.472541	0.104529
-3.381532	1.19961	12.456775	-6.386634	95.520064	-6.096012	0.854606	-0.477572	-0.706205	2.9331	1.223373	9.570632	-8.83834	-0.096197	2.252665	-0.037496	0.199912	-1.308056	10.430677	1.97638	-0.154248	-1.90664	-4.868527	-23.827007	-0.51901	-0.470888	0.073473
-3.159319	1.370322	12.120834	-5.186839	108.262065	-2.150711	0.896596	-0.482224	-0.693177	2.759064	0.660296	9.453252	-11.776055	-0.319033	2.494711	-0.037126	0.216304	-1.323409	9.831577	2.033829	-0.64426	-0.2569	-5.23718	-26.061866	-0.588479	-0.472735	0.08865
-3.799921	0.908833	11.538124	-5.711759	119.955892	1.35308	0.924094	-0.49003	-0.665724	2.766101	0.773242	9.793184	-14.458375	0.048328	2.064611	-0.037496	0.199912	-1.308056	9.661421	2.384421	-0.22673	-1.878418	-5.391258	-23.549601	-0.57478	-0.488724	0.089557
-3.222017	1.196832	11.834731	-4.760439	128.445258	3.5431	0.896224	-0.485753	-0.679101	2.936811	0.547502	9.683342	-15.472055	0.52422	2.345981	-0.037346	0.230553	-1.310063	9.12931	2.327313	-0.296788	-2.74125	-5.05041	-18.353285	-0.51929	-0.486255	0.058783
-4.761247	1.25684	12.146027	-2.762878	133.856214	3.993341	0.966455	-0.491154	-0.666771	3.110824	0.490895	9.743561	-16.200773	1.554998	2.725584	-0.037421	0.215232	-1.309059	8.850601	2.389772	0.59656	-3.352837	-4.810527	-12.179268	-0.547314	-0.502855	0.059479
-4.645086	0.510259	12.20197	5.0119	137.210682	3.933506	0.952692	-0.469952	-0.69799	2.771152	0.66077	10.019648	-14.214619	2.22726	2.240615	-0.011024	0.247095	-1.325968	8.785928	1.981892	0.234288	-3.854071	-5.04228	-7.683961	-0.533336	-0.503477	0.075077
-5.249523	0.860913	13.49879	20.161164	137.72086	5.768882	0.966841	-0.504925	-0.663355	2.768388	0.209984	9.84935	-13.333863	3.493865	2.500544	-0.02518	0.242732	-1.268293	8.432391	2.215253	0.288581	-4.035078	-5.795667	-5.876598	-0.51929	-0.486255	0.058783
-4.911025	0.112718	13.218069	39.064979	142.389262	5.453036	0.994711	-0.509202	-0.649978	2.420793	0.097875	9.728722	-13.416652	4.202797	1.767649	-0.049807	0.217301	-1.337483	8.78056	1.922579	-0.065494	-3.884776	-6.284526	-5.874809	-0.547314	-0.502855	0.059479
-4.866019	0.110023	12.593798	52.556259	151.599539	8.722623	0.952735	-0.52185	-0.645514	2.646674	0.491615	9.563971	-12.02884	4.006993	1.58185	-0.011689	0.229631	-1.296265	8.899983	2.27126	0.058004	-4.865389	-6.206396	-4.893661	-0.519495	-0.521118	0.10704
-5.634782	0.047812	11.328314	52.013379	159.558852	13.606825	0.979076	-0.488342	-0.628308	2.127484	0.436207	9.496404	-11.474161	3.920647	1.797235	-0.011324	0.185813	-1.321953	8.483029	2.503768	-0.128431	-6.370252	-6.03681	-4.063852	-0.533682	-0.536689	0.092279
-7.339053	0.051951	11.977146	40.866365	164.374919	15.03584	1.021823	-0.503237	-0.62594	2.246026	0.548795	9.668835	-10.851142	4.355973	2.079519	-0.011614	0.244951	-1.297268	8.19206	2.156728	0.044305	-6.888944	-5.986975	-3.145352	-0.575059	-0.50409	0.074867
-7.489701	0.1141	13.054256	23.757154	170.561471	17.761548	1.037487	-0.558696	-0.612626	2.372552	-0.35233	10.123611	-5.074304	4.283193	0.973628	-0.011614	0.244951	-1.297268	8.126036	2.329608	-0.315496	-6.882687	-5.47107	-2.750528	-0.547244	-0.503682	0.075007
-7.791107	-0.520927	12.250091	8.990029	174.115014	20.682965	1.022209	-0.517008	-0.622524	2.934046	0.096715	9.513044	2.281151	4.475917	-0.159178	-0.010433	0.249239	-1.354667	8.246154	2.852764	-0.131349	-7.2402	-3.912697	-2.726109	-0.477629	-0.522158	0.138307
-7.40216	-1.098286	11.630088	-0.380703	173.956197	22.731173	1.064213	-0.538959	-0.592004	2.41652	0.435716	9.559088	2.340872	4.294125	-0.376734	-0.037271	0.245873	-1.311067	8.595984	2.792889	-0.364621	-7.664713	-2.56172	-3.372823	-0.560872	-0.488519	0.089628
-7.795788	-2.660057	9.001649	-28.486488	170.569317	28.215039	1.07872	-0.553105	-0.588938	2.473115	0.942583	9.560724	-1.344136	3.629972	0.261087	-0.063964	0.212938	-1.279809	8.605193	2.620638	0.113892	-7.253321	-1.027985	-3.656691	-0.561151	-0.503886	0.074937
-7.92444	-3.122642	8.258402	-73.154109	162.602789	40.723945	1.079477	-0.563348	-0.599598	2.817922	-0.015778	9.453892	-1.761123	2.399509	0.063547	-0.02474	0.214235	-1.294985	8.72226	2.562045	0.055939	-7.110605	0.022281	-1.645113	-0.519286	-0.504926	0.106203
-4.933848	-3.121902	8.99854	-100.563814	156.744039	58.58161	1.078748	-0.587704	-0.553954	2.310282	0.210941	9.952958	1.441654	1.556636	-0.805443	-0.076199	0.245648	-1.31024	9.009638	2.559639	-0.357907	-6.189956	0.720242	2.168589	-0.547657	-0.554738	0.124102
3.788087	-3.583633	10.132363	-100.519276	145.280953	72.588812	1.09244	-0.522409	-0.610194	2.646566	0.547946	9.564018	5.454756	1.333823	-1.143538	-0.063298	0.230403	-1.309512	9.068924	2.443352	-0.357301	-8.181341	1.278791	3.670752	-0.547314	-0.502855	0.059479
11.1132	-2.797826	7.209314	-62.930584	94.57848	75.39649	1.106961	-0.553854	-0.589636	2.991958	0.547299	9.571272	6.786991	1.628269	-1.386162	-0.037195	0.261193	-1.31207	9.496207	2.503697	0.429439	-6.853252	1.341271	4.001846	-0.505587	-0.520914	0.10711
8.336937	-0.963497	5.799115	9.497835	28.408618	49.035846	1.133687	-0.534118	-0.569014	2.650755	0.886118	9.790861	2.469766	2.215741	-1.13717	-0.011394	0.230703	-1.310615	10.146351	2.560535	0.501698	-6.233562	1.430845	4.427068	-0.533265	-0.504304	0.090605
8.930834	-1.866047	9.784991	17.349686	-64.347004	21.229318	1.136717	-0.575089	-0.611655	2.704239	0.491507	9.56518	-2.285471	2.425926	-0.306549	-0.025036	0.213163	-1.280636	10.737862	1.978425	0.51023	-6.468992	1.594898	6.230425	-0.547594	-0.518222	0.044789
6.899097	-3.421791	8.261323	28.523764	-95.869783	-0.597192	1.135973	-0.582145	-0.583503	2.596577	0.379346	9.902505	-5.900921	2.404693	0.615174	-0.050397	0.215157	-1.308784	10.612552	2.267591	0.149824	-6.1737	1.996728	8.886568	-0.533403	-0.521322	0.10697
5.565792	-3.769105	7.381469	24.389428	-103.645789	-10.709703	1.10809	-0.560569	-0.614372	2.532105	0.829861	9.618477	-10.165191	2.289475	0.579769	-0.049726	0.292831	-1.328152	11.438353	1.975074	0.104087	-5.032071	2.340787	8.544576	-0.533615	-0.518844	0.060387
4.443605	-4.005563	5.596902	15.17742	-98.24359	-16.33078	1.165701	-0.568781	-0.640505	2.530873	0.210131	9.504676	-11.774134	2.113557	0.915835	0.001211	0.214385	-1.295537	11.145898	2.266871	0.279542	-3.909505	2.038033	5.668882	-0.561569	-0.536271	0.076611
4.762594	-3.953678	4.353056	-9.254955	-97.337356	-19.466198	1.151552	-0.533808	-0.675139	2.590641	0.322779	9.619259	-10.165311	2.231568	0.055116	-0.011984	0.228559	-1.281915	10.256909	1.512672	-0.039713	-4.22189	1.389266	0.263352	-0.533198	-0.486459	0.058712
4.992683	-3.896161	4.414604	-35.511918	-102.921914	-23.100632	1.153052	-0.536994	-0.713951	2.65328	0.829883	9.904093	-10.72065	2.25719	-0.253357	-0.02459	0.244876	-1.296993	9.664817	1.397375	-0.171026	-5.207953	0.046178	-3.302481	-0.519428	-0.503273	0.075148
4.445003	-2.85625	5.715434	-57.593193	-111.59053	-26.950646	1.153452	-0.568064	-0.693044	3.162453	0.43422	9.461524	-10.413295	2.109598	-0.53203	-0.037346	0.230553	-1.310063	10.026212	1.572524	0.255667	-6.451444	-1.336038	-3.169132	-0.589176	-0.520486	0.075634
