1818_acc_x	1818_acc_y	1818_acc_z	1818_gyro_x	1818_gyro_y	1818_gyro_z	1818_mag_x	1818_mag_y	1818_mag_z	1819_acc_x	1819_acc_y	1819_acc_z	1819_gyro_x	1819_gyro_y	1819_gyro_z	1819_mag_x	1819_mag_y	1819_mag_z	1820_acc_x	1820_acc_y	1820_acc_z	1820_gyro_x	1820_gyro_y	1820_gyro_z	1820_mag_x	1820_mag_y	1820_mag_z
0.5491	-9.6294	-0.778	0.0349	0.7939	0.0342	0.8345	0.2882	0.2702	-7.5983	1.2855	-5.2218	-0.1985	0.8637	-0.1394	0.6008	0.1043	0.3189	7.6238	5.8448	0.958	0.3806	2.0812	1.1923	-0.924	-0.1173	1.7734
0.782	-9.7445	-0.6556	-0.0013	0.581	-0.0271	0.8225	0.2882	0.2462	-8.1847	1.4577	-5.7086	-0.1957	0.957	-0.4465	0.6014	0.0674	0.2847	7.5018	5.7862	0.547	0.3681	1.8678	0.4775	-0.8889	-0.1351	1.7758
0.6062	-9.3421	-0.7762	-0.126	0.7081	-0.1454	0.8225	0.2702	0.2762	-8.2477	1.2283	-6.0074	-0.4749	0.869	-0.2942	0.6152	0.1031	0.3369	7.5108	5.9025	1.0142	0.6304	1.6845	-0.2111	-0.9064	-0.135	1.7755
0.3269	-9.9155	-0.3695	-0.2816	0.6839	-0.1723	0.8225	0.2762	0.2882	-8.1306	1.4572	-5.8857	-0.5764	0.4698	0.1309	0.5873	0.0664	0.3203	7.741	6.0173	1.1359	0.5237	1.3795	-1.1116	-0.8883	-0.139	1.8125
0.144	-9.9739	-0.9049	-0.3736	0.7183	-0.1698	0.8285	0.2762	0.2702	-8.1237	1.0571	-5.5894	-0.5154	0.4681	0.2854	0.6163	0.0471	0.3035	7.4493	5.7871	0.7793	0.6662	1.4115	-1.5451	-0.8717	-0.1001	1.7724
0.6121	-9.5138	-0.4811	-0.4328	0.7212	-0.0768	0.8165	0.2882	0.2702	-7.8361	0.8274	-5.6434	-0.4873	0.2845	0.0351	0.6019	0.0644	0.3562	7.3874	6.0158	0.5455	0.4827	1.535	-1.4763	-0.9063	-0.1525	1.7774
0.7839	-9.5143	-0.5368	-0.3437	0.961	-0.3522	0.8285	0.2822	0.2762	-7.9507	1.5147	-5.5255	-0.3906	0.468	-0.1776	0.6144	0.1415	0.3353	7.3344	6.3609	0.7791	0.4907	1.5953	-1.074	-0.8894	-0.0981	1.7538
0.4811	-9.5156	-1.3108	-0.184	0.6806	0.0084	0.8225	0.2882	0.2702	-7.8921	0.656	-5.5855	-0.2977	0.4672	-0.3628	0.6011	0.0859	0.3018	7.6737	6.0155	0.6096	0.4745	1.6854	-0.3621	-0.9061	-0.1369	1.7938
0.9559	-9.6297	-0.5929	-0.0313	0.8265	-0.147	0.8225	0.2702	0.2822	-7.8403	1.1132	-5.8211	-0.2072	0.4034	-0.1785	0.6151	0.1039	0.319	7.3372	6.0171	0.8945	0.3374	2.0217	0.575	-0.9228	-0.1582	1.8321
0.6083	-9.9169	-0.7185	0.0873	0.6377	-0.212	0.8225	0.2822	0.2882	-8.0668	0.8852	-5.648	-0.2964	0.6187	0.1032	0.6006	0.1058	0.2832	8.0298	5.9028	1.3163	0.4585	2.0831	0.5743	-0.8882	-0.2072	1.8016
0.3158	-9.3418	-0.9	0.0012	0.8253	-0.0868	0.8165	0.2642	0.2822	-7.835	0.8848	-5.5838	-0.3022	0.4618	0.9034	0.6151	0.1039	0.319	7.4516	5.7875	0.896	0.3627	1.961	0.2953	-0.8894	-0.1488	1.741
0.6118	-9.9739	-0.5413	-0.1854	0.6499	-0.0223	0.8345	0.2642	0.2882	-7.666	1.0557	-5.7582	-0.2716	0.4912	1.0893	0.6435	0.1045	0.2835	7.5636	6.3607	0.842	0.5398	1.8076	-0.0825	-0.9063	-0.1525	1.7774
0.5569	-9.6285	-0.3643	-0.1276	0.7079	-0.2064	0.8285	0.2822	0.2702	-7.6687	1.1699	-5.8768	-0.6089	0.6184	1.3998	0.6006	0.1058	0.2832	7.9097	6.074	1.0229	0.652	1.5013	-0.7408	-0.8714	-0.0845	1.7888
0.5514	-9.6866	-0.66	-0.5578	0.8787	-0.2254	0.8345	0.2882	0.2822	-7.9539	1.3999	-5.704	-0.7633	0.5004	0.9033	0.6439	0.0861	0.2664	7.3298	6.3601	0.5456	0.5219	1.4106	-1.1723	-0.8895	-0.1312	1.7392
0.7823	-9.917	-0.656	-0.5913	0.7272	-0.2255	0.8345	0.2822	0.2762	-8.0646	1.4578	-5.4686	-0.6328	0.777	0.3216	0.5577	0.1063	0.3007	7.3897	5.9588	0.662	0.4606	1.4723	-1.1385	-0.8709	-0.1722	1.7981
0.3847	-10.0306	-0.3686	-0.3712	0.8101	-0.1388	0.8345	0.2762	0.2942	-7.6565	1.0566	-5.2828	-0.5423	0.5331	-0.4547	0.6158	0.0832	0.3555	7.7882	5.7286	0.6108	0.68	1.4401	-0.8972	-0.9238	-0.1524	1.7771
0.6037	-9.8599	-0.9548	-0.2168	0.8647	-0.1728	0.8345	0.2822	0.2702	-8.0116	1.4	-5.7052	-0.4143	0.6869	-1.0077	0.6167	0.0279	0.3042	7.3912	6.4755	0.7806	0.3516	1.7474	-0.3579	-0.9066	-0.0999	1.7718
0.6107	-9.3415	-0.5398	-0.0623	0.6752	-0.0556	0.8345	0.2702	0.2762	-7.8382	1.2279	-5.702	-0.1685	0.5922	-1.3796	0.6156	0.0847	0.3198	7.905	6.1879	0.7899	0.512	1.9918	0.1699	-0.9236	-0.1368	1.7935
0.6124	-9.6863	-0.4815	0.0002	0.7642	-0.0871	0.8345	0.2942	0.2882	-7.8984	1.285	-5.8219	-0.1034	0.8353	-1.0663	0.6165	0.0456	0.3392	7.3919	6.0166	0.7789	0.4296	2.0214	0.604	-0.8889	-0.0844	1.7885
