1546_acc_x	1546_acc_y	1546_acc_z	1546_gyro_x	1546_gyro_y	1546_gyro_z	1546_mag_x	1546_mag_y	1546_mag_z	1548_acc_x	1548_acc_y	1548_acc_z	1548_gyro_x	1548_gyro_y	1548_gyro_z	1548_mag_x	1548_mag_y	1548_mag_z	1549_acc_x	1549_acc_y	1549_acc_z	1549_gyro_x	1549_gyro_y	1549_gyro_z	1549_mag_x	1549_mag_y	1549_mag_z
-2.091	1.1274	9.2928	-0.0627	-0.3682	-0.266	0.1129	0.1821	1.3294	2.3134	0.2708	9.3778	-0.2962	0.6942	0.4191	-0.6514	0.7469	0.6208	9.5446	-0.5281	-0.4575	1.1887	-0.7369	4.0825	-0.06	-0.4323	-0.3002
-1.8021	1.4726	9.2418	-0.2482	-0.6406	-0.3432	-0.7316	1.2578	-1.113	2.4355	0.3288	9.728	-0.2619	0.8075	0.6126	1.3914	0.3625	1.18	9.7298	-0.4108	0.0018	1.3711	-0.5181	3.9387	-0.042	-0.2762	-0.1441
-1.507	1.0113	9.419	-0.2163	-0.5455	-0.3994	-0.7859	1.2329	-1.0916	2.3695	0.0973	9.2626	-0.3577	0.7597	0.3615	1.4266	0.4107	1.1162	9.4937	-0.5271	-0.0599	1.7045	-0.6401	3.8066	-0.042	-0.2642	-0.1501
-1.8481	1.1859	9.815	-0.2473	-0.4892	-0.2737	-0.7302	1.1842	-1.0225	2.4398	0.2136	9.9599	-0.1724	0.7228	0.4204	1.4261	0.3875	1.1164	9.9031	-0.7606	-0.1666	1.6459	-0.3041	3.9168	-0.03	-0.2702	-0.1441
-2.2052	1.8199	9.4646	-0.3992	-0.4227	-0.3326	-0.7322	1.2346	-1.1346	2.2586	0.2711	9.5508	-0.113	0.5051	0.437	1.408	0.3638	1.1163	9.6092	-0.7021	-0.172	1.3403	-0.3601	3.8241	-0.036	-0.2582	-0.1381
-1.6761	0.6662	9.6448	-0.03	0.0238	-0.0604	-0.823	1.2093	-1.1142	1.9763	0.0987	9.9514	-0.0491	0.6563	0.4776	1.4264	0.3872	1.1378	9.8394	-0.2954	-0.3944	1.4271	-0.4057	3.2983	-0.03	-0.2762	-0.1321
-1.2766	1.5295	9.3674	-0.3349	0.0335	-0.1848	-0.7848	1.2556	-1.0478	2.0906	0.5604	9.8961	-0.3004	0.4543	0.2793	1.41	0.4094	1.1799	9.6732	-0.3522	0.1148	1.5776	-0.4626	3.1097	-0.036	-0.2822	-0.1381
-1.8581	0.954	9.297	-0.2435	0.0883	-0.0583	-0.7677	1.2331	-1.0912	3.1291	0.0968	9.6242	-0.2979	0.605	0.3512	1.3917	0.4093	1.1368	9.7313	-0.7599	0.058	1.7615	-0.5941	3.3166	-0.012	-0.2642	-0.1501
-1.5069	0.9536	9.4189	0.185	0.0563	-0.1495	-0.6943	1.1851	-1.0437	2.0322	0.0408	9.8364	-0.3884	0.6942	0.4506	1.4273	0.4102	1.1589	9.613	-1.051	-0.0019	2.0049	-0.5952	3.2838	-0.03	-0.2702	-0.1441
-1.8549	1.1274	9.4699	0.062	-0.0921	-0.2504	-0.7679	1.2093	-1.0906	2.1985	0.271	9.4337	-0.2955	0.7234	0.452	1.4087	0.3633	1.159	9.8532	-0.7012	0.2882	1.8859	-0.605	3.6225	-0.042	-0.2642	-0.1321
-1.9737	1.185	9.3527	-0.093	-0.2207	-0.1046	-0.7859	1.2329	-1.0916	2.3248	0.3293	10.016	-0.2357	0.7637	0.237	1.4272	0.3867	1.1805	9.7855	-0.7023	-0.1687	1.9467	-0.3861	3.5103	-0.024	-0.2582	-0.1321
-1.6798	1.3578	9.5314	0.0606	-0.1596	-0.1311	-0.8051	1.2338	-1.1365	2.1449	0.1559	9.6646	-0.5424	0.8581	0.3067	1.4264	0.3167	1.2239	9.441	-0.992	0.2227	2.0696	-0.2035	3.5496	-0.024	-0.2762	-0.1381
-1.5102	0.8955	9.2462	-0.1226	-0.1558	-0.1628	-0.7674	1.2087	-1.0684	2.3135	0.1553	9.3776	-0.2638	0.8812	0.369	1.4119	0.4787	1.2006	10.08	-0.2368	-0.105	2.1289	-0.1664	3.3358	-0.03	-0.2762	-0.1441
-1.4996	0.7815	9.7635	-0.092	-0.0973	-0.098	-0.7685	1.1861	-1.1122	2.0314	-0.0748	9.7782	-0.5139	0.7714	0.1767	1.4273	0.4102	1.1589	10.0738	-0.7033	-0.4479	2.1255	-0.0593	2.8802	-0.018	-0.2462	-0.1501
-1.5587	1.2428	9.7634	-0.2127	0.0893	-0.0888	-0.7313	1.2334	-1.0902	2.2032	-0.1329	9.6652	-0.3628	0.6212	0.0421	1.3741	0.4088	1.1365	10.258	-0.7608	-0.0459	1.9095	0.1726	2.4328	-0.024	-0.2702	-0.1381
-1.2128	1.0111	9.5973	-0.2754	0.0506	0.0931	-0.8043	1.2089	-1.0915	2.3178	0.0401	9.6095	-0.4267	0.4377	0.0304	1.4433	0.3177	1.1815	9.8476	-0.6437	0.0035	2.0293	0.1795	2.1862	-0.042	-0.2522	-0.1501
-1.6307	1.2413	9.0722	-0.1819	0.2066	0.0406	-0.7492	1.2089	-1.0679	2.6084	0.2708	9.673	-0.1823	0.1523	0.1039	1.3739	0.4325	1.0935	9.7884	-0.2944	0.0032	2.0588	0.2139	2.0647	-0.042	-0.2702	-0.1381
-1.562	0.6081	9.5319	-0.06	0.3477	0.2948	-0.7503	1.1863	-1.1117	2.0849	0.0981	9.5474	-0.2433	0.1503	0.1661	1.3922	0.4325	1.1366	10.0827	-0.644	0.008	1.9648	0.3188	1.702	-0.03	-0.2642	-0.1501
-1.7447	1.2418	9.1849	0.0346	0.5109	0.089	-0.7679	1.2093	-1.0906	1.9652	-0.1908	9.3129	-0.1513	0.2163	0.0458	1.3911	0.3627	1.1586	9.7907	-0.3523	0.117	1.8679	0.2162	1.0824	-0.036	-0.2762	-0.1441
-1.795	1.3581	9.5866	0.1555	0.3256	0.0492	-0.7681	1.1855	-1.09	2.3207	0.2713	9.7839	-0.1808	0.2753	0.1119	1.4622	0.4115	1.1383	9.6762	-1.0505	0.227	1.99	0.2767	1.0846	-0.036	-0.2702	-0.1501
-1.7377	1.2426	9.53	0.0306	0.1643	0.2241	-0.7668	1.232	-1.0468	2.4903	0.3285	9.555	-0.2109	0.3373	0.116	1.4458	0.4336	1.1804	9.3187	-0.7014	-0.0067	2.0517	0.179	1.2327	-0.036	-0.2642	-0.1381
-1.6847	0.8959	9.2428	0.1532	0.1068	0.0989	-0.7676	1.185	-1.0678	2.5483	0.2707	9.556	-0.1495	0.37	0.0558	1.3547	0.3624	1.0939	9.3725	-0.2363	-0.2323	2.2053	0.1728	1.3849	-0.042	-0.2702	-0.1501
