1818_acc_x	1818_acc_y	1818_acc_z	1818_gyro_x	1818_gyro_y	1818_gyro_z	1818_mag_x	1818_mag_y	1818_mag_z	1819_acc_x	1819_acc_y	1819_acc_z	1819_gyro_x	1819_gyro_y	1819_gyro_z	1819_mag_x	1819_mag_y	1819_mag_z	1820_acc_x	1820_acc_y	1820_acc_z	1820_gyro_x	1820_gyro_y	1820_gyro_z	1820_mag_x	1820_mag_y	1820_mag_z
0.2096	0.6873	9.6391	-0.0537	0.9812	0.068	0.1261	-0.2882	-0.2462	0.9964	1.4086	9.6263	0.1871	0.4199	1.583	0.2492	0.0862	-1.2695	9.8346	-0.186	-0.1864	4.2227	-0.0243	0.9938	-1.2549	1.0031	1.0333
0.6203	0.3999	10.0009	-0.149	0.6797	0.1601	0.3362	0.042	-0.1981	0.6562	1.5245	9.9165	-0.398	0.2794	0.8691	0.7967	-0.7339	-1.2687	9.7743	-0.3013	-0.363	4.8575	0.0365	0.767	-1.2644	0.6728	0.3799
0.6741	0.0543	9.7648	-0.2078	1.0487	0.0416	0.3302	0.036	-0.1801	0.826	1.3521	9.7414	0.3089	0.1461	0.4973	0.7974	-0.7546	-1.2322	9.841	0.102	0.1648	5.0649	-0.0553	0.4212	-1.2632	0.6319	0.4386
0.2731	-0.0597	9.8749	-0.2428	0.8055	0.041	0.3362	0.042	-0.1861	1.1162	1.5233	9.8666	-0.2833	-0.2127	0.6134	0.7831	-0.7711	-1.2852	9.8986	-0.2422	0.1647	5.0164	0.3782	-0.0895	-1.2638	0.6358	0.4019
0.3243	0.3995	9.5816	-0.4244	0.8746	0.1374	0.3422	0.036	-0.1861	0.2511	1.1819	9.7886	0.1746	-0.3449	0.9825	0.7671	-0.6939	-1.2883	9.9568	-0.2995	0.224	5.3721	0.3789	-0.559	-1.2638	0.6358	0.4019
0.3307	-0.0598	9.876	-0.1165	0.5261	0.3109	0.3302	0.036	-0.1861	0.5331	1.2951	9.4977	-0.8398	-0.3263	0.6722	0.782	-0.7143	-1.2696	9.7202	-0.0138	-0.1881	4.723	0.5048	-0.8506	-1.2818	0.6729	0.3796
0.2653	0.5144	9.5216	-0.1801	0.7115	0.1305	0.3422	0.042	-0.1861	0.8318	1.4099	10.0386	-0.4091	-0.3638	0.5487	0.7963	-0.7147	-1.2695	10.1867	0.0447	0.3465	4.3147	0.6614	-1.2696	-1.2637	0.6689	0.4165
0.7347	0.2846	9.9438	-0.3587	0.8115	0.3185	0.3422	0.03	-0.1801	0.7096	1.295	9.6795	-0.72	-0.5423	0.4523	0.8113	-0.7527	-1.2857	9.7288	-0.3565	0.2192	4.0894	0.7253	-1.7564	-1.2288	0.618	0.4044
0.3312	0.2853	9.9359	-0.3991	0.6897	0.0442	0.3422	0.042	-0.1921	0.9456	1.5239	9.9818	-0.9944	-0.3545	0.7023	0.7681	-0.733	-1.269	9.7248	-0.0129	0.0454	3.9262	1.1272	-1.9575	-1.2821	0.6748	0.3613
0.0959	-0.1749	9.6348	-0.3949	0.8427	0.106	0.3362	0.03	-0.1801	0.7033	1.4661	9.3828	-0.5325	-0.3922	0.4862	0.7813	-0.6936	-1.3061	10.0748	-0.5859	0.4003	3.4234	1.4382	-2.4009	-1.2298	0.6921	0.3603
