1827_acc_x	1827_acc_y	1827_acc_z	1827_gyro_x	1827_gyro_y	1827_gyro_z	1827_mag_x	1827_mag_y	1827_mag_z	1828_acc_x	1828_acc_y	1828_acc_z	1828_gyro_x	1828_gyro_y	1828_gyro_z	1828_mag_x	1828_mag_y	1828_mag_z	1829_acc_x	1829_acc_y	1829_acc_z	1829_gyro_x	1829_gyro_y	1829_gyro_z	1829_mag_x	1829_mag_y	1829_mag_z
-0.1818	-0.4747	9.4993	-0.3445	0.0927	0.143	0.5428	-0.7422	-1.8988	4.2753	2.6116	8.0099	-0.1026	0.1431	-0.0465	-0.2642	-0.7827	-1.5411	10.0998	0.9008	-0.4082	-0.8998	0.5869	0.0149	-1.0077	-0.1881	-0.3618
0.0512	-0.1841	9.7901	-0.4701	0.0938	0.0853	0.0108	0.3893	-0.6997	4.2875	2.6136	8.6411	-0.1641	0.1735	-0.077	-0.3273	-0.8005	-1.5628	9.8755	1.306	-0.069	-0.9943	0.773	-0.1671	-1.044	-0.1689	-0.416
0.3412	-0.0095	10.0817	-0.4765	0.0648	-0.0982	-0.0855	0.4141	-0.7194	4.2286	2.6137	8.64	-0.285	0.2057	0.0165	-0.3092	-0.8213	-1.5747	9.8145	1.1901	-0.2983	-0.8453	0.6229	-0.3241	-0.9554	-0.1521	-0.3612
0.6259	-0.1258	10.0869	-0.7833	0.0963	-0.0282	-0.0294	0.4248	-0.6859	4.17	2.4385	8.6383	-0.0428	0.1726	-0.1399	-0.2781	-0.8241	-1.5267	9.6462	1.3644	-0.0729	-0.8631	0.7385	0.168	-0.9912	-0.1693	-0.397
-0.3517	-0.1844	9.5539	-0.533	0.0944	0.0565	-0.0647	0.3732	-0.6792	4.2837	2.8467	8.4697	-0.0696	0.1147	0.1388	-0.3034	-0.8019	-1.5452	9.5854	0.9029	-0.3607	-0.9589	0.5847	0.1391	-1.0076	-0.2242	-0.361
0.0523	-0.1839	9.8472	-0.5937	0.0631	0.119	-0.0282	0.4134	-0.7377	4.0377	2.9041	7.949	-0.2558	0.0502	-0.1061	-0.3237	-0.8011	-1.5476	9.9817	1.3037	-0.5226	-0.8679	0.5556	0.0756	-1.0072	-0.2065	-0.3438
0.1683	-0.1257	9.9638	-0.4696	0.1559	0.0554	-0.0293	0.427	-0.7039	4.1691	2.8475	8.6396	-0.2851	0.2672	0.0161	-0.3309	-0.7998	-1.578	9.8157	1.1328	-0.2416	-0.9936	0.5248	0.0168	-1.0077	-0.1881	-0.3618
0.0514	-0.4161	9.7894	-0.374	0.1546	0.1444	-0.0474	0.4101	-0.7016	4.4633	2.1454	8.5282	-0.0124	0.419	-0.1112	-0.2831	-0.8027	-1.5427	9.9861	1.2471	-0.295	-1.1512	0.5254	-0.1027	-1.0091	-0.1689	-0.4151
-0.2323	-0.1836	9.8416	-0.5274	0.2482	0.1191	-0.0466	0.3901	-0.6815	4.3469	2.4381	8.6417	-0.4374	0.1443	0.0184	-0.3223	-0.8219	-1.5468	9.7595	1.4214	-0.1275	-1.2695	0.8618	-0.069	-0.9902	-0.2062	-0.361
0.0459	-0.591	9.5034	-0.476	0.1269	-0.1281	-0.0666	0.4089	-0.6835	4.2867	2.4965	8.5834	0.0794	0.1109	-0.1406	-0.2803	-0.8443	-1.5411	9.7037	1.3067	-0.0721	-1.2373	0.7993	0.0224	-1.0256	-0.1877	-0.3799
0.2163	-0.1271	9.5081	-0.4428	-0.0607	0.0829	-0.0293	0.427	-0.7039	4.1639	2.6714	8.3522	-0.2252	0.0502	-0.1064	-0.3042	-0.8428	-1.5587	9.9819	1.5342	-0.4647	-1.2982	0.6743	0.1464	-0.9728	-0.2062	-0.3605
-0.0604	-0.1836	9.902	-0.3756	0.124	0.1136	-0.0277	0.3848	-0.6455	4.5162	2.8456	8.302	-0.4365	0.2686	0.1101	-0.3187	-0.8226	-1.5317	9.7022	1.1335	-0.1867	-0.9791	0.8876	0.4164	-1.0068	-0.1527	-0.3273
-0.0625	-0.358	9.7873	-0.5656	0.0639	0.0265	-0.0103	0.4239	-0.686	3.9849	2.613	8.2339	-0.3138	-0.07	0.1115	-0.2781	-0.8241	-1.5267	9.8659	1.3615	-0.5814	-1.0778	0.5807	0.3566	-1.0251	-0.17	-0.3626
0.1115	-0.2416	9.9623	-0.5627	0.1875	0.0278	-0.0467	0.3879	-0.6635	4.2806	2.2617	8.2384	-0.619	0.2077	0.1432	-0.2831	-0.8027	-1.5427	9.6999	1.7668	-0.1841	-1.0157	0.643	0.3247	-0.9742	-0.1871	-0.4138
0.0572	-0.6473	10.0742	-0.6605	0.0961	-0.0622	-0.0285	0.407	-0.6837	4.523	2.3207	8.5873	-0.2536	0.1756	0.0782	-0.3028	-0.8636	-1.5579	9.4725	1.307	-0.1902	-1.1701	0.6726	0.328	-0.9908	-0.1516	-0.3798
