1757_acc_x	1757_acc_y	1757_acc_z	1757_gyro_x	1757_gyro_y	1757_gyro_z	1757_mag_x	1757_mag_y	1757_mag_z	1758_acc_x	1758_acc_y	1758_acc_z	1758_gyro_x	1758_gyro_y	1758_gyro_z	1758_mag_x	1758_mag_y	1758_mag_z	1759_acc_x	1759_acc_y	1759_acc_z	1759_gyro_x	1759_gyro_y	1759_gyro_z	1759_mag_x	1759_mag_y	1759_mag_z
-2.1864	2.5061	9.2462	-1.2975	0.2757	-0.4518	0.6814	-0.055	-1.0301	2.1227	2.2951	9.4413	-0.6789	0.0524	0.0411	0.1828	-0.494	-0.782	9.9099	-0.1119	0.1265	-0.1713	0.6335	-2.1622	-0.3142	-0.4979	-0.5743
-2.3551	2.9665	9.4153	-0.6854	0.3125	-0.729	0.5986	-0.0525	-1.0809	1.9999	2.5203	9.0993	-1.0156	0.2936	0.0124	0.1961	-0.4928	-0.7966	10.0223	-0.5202	-0.2325	-0.048	0.8512	-2.4693	-0.2996	-0.4499	-0.5612
-1.8385	2.6791	9.481	-0.593	0.249	-0.5156	0.6703	-0.0783	-1.0899	1.8916	2.7461	9.4369	-0.9541	0.2928	0.259	0.2227	-0.4752	-0.8269	9.8427	-0.4041	-0.3551	0.1639	0.518	-2.7129	-0.313	-0.4186	-0.5474
-2.0719	2.5635	9.2487	-0.5006	0.1855	-0.3022	0.639	0.0153	-1.099	1.661	2.9156	9.4322	-1.1358	0.5675	0.1075	0.2221	-0.4773	-0.7982	9.8462	0.0034	-0.1138	0.2863	0.3961	-2.7128	-0.2853	-0.4352	-0.5309
-2.1842	2.6215	9.3604	-0.7168	0.064	-0.5183	0.6532	-0.0197	-1.0644	1.8901	2.9151	9.3804	-0.9799	0.6915	0.2013	0.1831	-0.4929	-0.7963	10.1484	-0.693	0.1883	-0.0256	0.2465	-3.1388	-0.313	-0.4186	-0.5474
-2.1229	3.1968	9.5913	-0.5667	-0.4895	-0.4357	0.6536	-0.0335	-1.061	1.7124	2.9716	9.1502	-0.6905	1.5847	0.1488	0.1963	-0.5071	-0.8099	9.6705	0.3527	0.0042	-0.2474	-0.2088	-3.5637	-0.3273	-0.4333	-0.5777
-1.8913	2.6227	9.7071	-1.9503	-0.9527	-0.8072	0.6398	-0.0123	-1.0922	1.4225	2.803	9.0308	-3.4991	4.2152	0.3577	0.2227	-0.4752	-0.8269	9.6731	-0.2858	0.0614	0.1185	-0.6653	-3.6546	-0.3134	-0.4518	-0.5302
-2.3064	2.4475	8.9595	1.4543	-0.5377	-0.7796	0.6536	-0.0508	-1.0435	1.7745	2.5209	9.321	0.4462	5.867	-0.7634	0.1977	-0.4568	-0.8704	9.6735	-0.4601	0.0607	1.3131	-1.3601	-4.0834	-0.3548	-0.4184	-0.5632
-2.1821	2.7943	9.4748	1.4876	-0.6391	0.0467	0.6543	-0.0264	-1.0891	2.3453	2.5197	9.1065	-2.3742	7.3193	-3.2791	0.2229	-0.4894	-0.8402	9.6633	0.1768	-0.4158	3.1214	-1.9228	-5.2486	-0.3132	-0.4356	-0.5311
-2.0715	2.0465	9.2465	2.4708	-0.3911	0.2625	0.6532	-0.037	-1.0469	2.0749	2.2392	9.8932	-1.2906	7.5166	-3.2146	0.1973	-0.4885	-0.854	9.2589	-0.2851	-0.0062	3.9918	-1.809	-4.1216	-0.3415	-0.4676	-0.5451
-1.6139	2.6206	9.2578	2.3823	0.3184	-0.0017	0.6268	-0.0013	-1.1341	2.3584	2.6329	9.7296	-0.0745	6.1125	-1.8095	0.2096	-0.5059	-0.8246	9.5492	-0.1126	-0.2396	4.3991	-1.2298	-3.7896	-0.3555	-0.4848	-0.5288
