1824_acc_x	1824_acc_y	1824_acc_z	1824_gyro_x	1824_gyro_y	1824_gyro_z	1824_mag_x	1824_mag_y	1824_mag_z	1825_acc_x	1825_acc_y	1825_acc_z	1825_gyro_x	1825_gyro_y	1825_gyro_z	1825_mag_x	1825_mag_y	1825_mag_z	1826_acc_x	1826_acc_y	1826_acc_z	1826_gyro_x	1826_gyro_y	1826_gyro_z	1826_mag_x	1826_mag_y	1826_mag_z
-2.6043	0.8911	9.7119	-0.1768	-0.1446	0.0606	-0.4404	-0.1168	-2.8521	0.9279	3.7024	9.4462	-0.3809	0.9856	-0.0036	0.5764	-0.3963	-0.7385	9.6547	1.3347	-0.7317	-0.0504	0.6956	0.3143	-1.2066	0.0528	0.1201
-2.0063	0.6014	9.4925	-0.0181	0.132	0.0338	0.045	0.3036	-1.1236	0.464	3.7019	9.1445	-0.3458	0.8325	0.12	0.5343	-0.2822	-0.5404	9.8354	1.278	-0.1563	-0.3131	0.672	-0.1696	-1.0585	-0.3911	-0.2107
-2.366	0.3677	9.5475	-0.0786	0.0079	0.3395	0.0641	0.3034	-1.1058	0.409	3.645	9.2603	-0.348	0.9249	0.0887	0.5404	-0.2762	-0.5404	9.4851	1.6193	-0.6773	-0.3309	0.7108	-0.7526	-1.042	-0.3712	-0.192
-2.4293	0.3116	9.372	-0.0184	0.0707	0.094	0.0604	0.3399	-1.1382	0.6406	3.5301	9.3813	-0.3789	0.8928	-0.0031	0.5404	-0.2702	-0.5343	10.0501	1.1635	-0.839	-0.6157	0.8355	-0.9582	-1.0589	-0.3733	-0.2812
-2.7958	0.3741	9.0729	0.0435	0.0405	0.1541	0.062	0.3022	-1.1394	0.4622	3.4713	9.0263	-0.4093	0.8613	-0.0335	0.5404	-0.2882	-0.5524	10.0023	1.5052	-0.3247	-0.5509	0.8342	-0.868	-1.1062	-0.4106	-0.1768
-2	0.597	9.8429	-0.1405	0.0381	0.2794	0.062	0.3022	-1.1394	0.8104	3.4718	9.2672	-0.3458	0.8325	0.12	0.5524	-0.2942	-0.5404	9.3747	1.6195	-0.5077	-0.7647	0.5889	-0.7406	-1.0275	-0.4291	-0.2291
-2.2464	0.1348	9.4942	-0.1697	0.1601	0.2516	0.0241	0.3221	-1.1576	0.3553	3.4733	9.4341	-0.3436	0.7083	0.0593	0.5283	-0.2762	-0.5283	9.603	1.4487	-0.4465	-0.8721	0.7336	-0.2139	-1.0746	-0.3918	-0.2288
-2.1883	0.0778	9.3792	-0.2377	-0.0533	0.0018	0.0474	0.2469	-1.1254	0.6366	3.9319	9.2074	-0.4392	0.8622	0.0896	0.5464	-0.2822	-0.5464	9.773	1.676	-0.4432	-0.431	0.7911	0.0192	-1.0751	-0.4113	-0.2472
-2.3085	0.7776	9.4266	-0.4808	0.0656	0.192	0.0442	0.3224	-1.123	0.8132	3.7601	9.4442	-0.4145	1.1404	0.0571	0.5584	-0.2882	-0.5524	9.7743	1.4485	-0.3861	-0.7971	0.697	0.2138	-1.0436	-0.4298	-0.2472
-2.0694	0.4286	9.3185	-0.3595	0.0063	0.0662	0.0262	0.3232	-1.1241	0.4664	3.5874	9.2611	-0.5361	1.0143	-0.0643	0.5343	-0.2942	-0.5464	9.5934	1.6189	-0.9614	-0.4195	0.5564	-0.5976	-1.0746	-0.3918	-0.2288
