1824_acc_x	1824_acc_y	1824_acc_z	1824_gyro_x	1824_gyro_y	1824_gyro_z	1824_mag_x	1824_mag_y	1824_mag_z	1825_acc_x	1825_acc_y	1825_acc_z	1825_gyro_x	1825_gyro_y	1825_gyro_z	1825_mag_x	1825_mag_y	1825_mag_z	1826_acc_x	1826_acc_y	1826_acc_z	1826_gyro_x	1826_gyro_y	1826_gyro_z	1826_mag_x	1826_mag_y	1826_mag_z
-1.5837	-0.333	9.5117	-0.2028	0.0684	0.1886	0.4992	-1.3017	-0.717	2.5463	0.5386	9.9314	-0.2556	0.8305	-0.1878	-0.042	-0.1141	-0.6184	9.8418	2.0176	0.2449	1.2069	1.9962	-1.2493	-1.0669	-0.544	0.7966
-1.5811	0.0733	9.6817	-0.2978	0.0069	0.0654	0.499	-1.3211	-0.7344	2.1944	0.1345	9.4544	-0.3452	0.7062	-0.1558	-0.03	-0.1141	-0.6124	9.4466	2.0751	0.3521	-0.2345	1.8513	-1.7604	-1.0657	-0.5046	0.8511
-1.7633	0.4829	9.615	-0.5728	0.0644	0.2546	0.4796	-1.2631	-0.7169	2.1379	0.3074	9.5126	-0.317	0.862	-0.0647	-0.03	-0.1441	-0.6124	9.9479	2.1309	-0.1535	-1.8103	1.3312	-1.5638	-1.0818	-0.5053	0.833
-1.7648	0.0758	9.5034	-0.6961	0.1553	0.1351	0.5	-1.3205	-0.7176	2.6543	0.4793	9.5819	-0.2261	0.8926	-0.1884	-0.036	-0.1201	-0.6064	9.6126	2.0747	0.1263	-3.1222	0.8645	-0.8522	-1.0505	-0.5241	0.8153
-2.0035	0.0746	9.6159	-0.6062	-0.0272	0.1608	0.4441	-1.2999	-0.7369	2.2532	0.5375	9.5745	-0.0427	0.9561	-0.2205	-0.024	-0.1201	-0.6184	9.3919	2.0752	0.4656	-3.6737	0.5874	-0.6229	-1.0666	-0.5248	0.7972
-1.5689	-0.3433	10.3293	-0.4231	-0.1782	0.186	0.4985	-1.3601	-0.7691	2.3067	0.8242	9.4011	-0.1061	1.0485	-0.19	-0.03	-0.1021	-0.6004	9.3351	2.1322	0.4646	-3.7044	0.0691	-0.5646	-1.0349	-0.543	0.815
-1.6453	-0.0987	9.4493	-0.2386	-0.2067	0.1523	0.5155	-1.2842	-0.7322	2.027	0.7112	9.7466	0.1132	0.8646	-0.2516	-0.036	-0.1141	-0.6064	9.1629	2.0186	0.3469	-3.3571	-0.1777	-0.3312	-1.035	-0.5245	0.7801
-1.4561	-0.2216	9.9211	-0.1413	-0.1462	0.4907	0.5137	-1.2659	-0.7484	2.4222	0.2489	9.4007	-0.0422	0.9249	-0.2511	-0.018	-0.1141	-0.6124	9.3916	2.3027	0.4657	-2.9169	-0.0893	-0.1285	-1.0989	-0.545	0.7782
-2.119	-0.3367	9.8525	-1.0366	-0.1862	0.5933	0.5364	-1.3027	-0.6982	2.0869	0.4816	9.8638	-0.1671	0.9851	-0.2814	-0.048	-0.1141	-0.6244	9.5054	2.0751	0.4677	-2.6522	-0.0667	0.4168	-1.0819	-0.4683	0.7632
-2.1875	-0.4475	9.3858	-0.2006	0.0983	0.3429	0.4621	-1.3007	-0.7359	2.3058	0.7089	9.342	-0.2578	0.9547	-0.1271	-0.042	-0.1141	-0.6124	9.2783	2.1323	0.4635	-2.9539	0.0514	0.6726	-1.0348	-0.5241	0.7978
-1.8887	-0.4464	9.2743	-0.0173	0.0394	0.2471	0.5157	-1.2647	-0.7148	2.488	0.4809	9.8715	-0.3474	0.7986	-0.1871	-0.042	-0.1141	-0.6124	9.3959	2.246	0.6946	-2.9186	0.2627	0.7962	-1.0656	-0.4673	0.799
-2.0053	-0.099	9.5013	0.0486	0.1921	0.4034	0.5003	-1.3011	-0.7003	2.2462	0.766	9.224	-0.5608	0.7043	-0.1238	-0.03	-0.1201	-0.6064	9.2215	2.1892	0.4625	-2.7293	0.4745	0.8844	-1.0815	-0.4861	0.8336
-1.8185	-0.0453	9.8542	0.3505	-0.0479	0.1176	0.4794	-1.2826	-0.7342	1.9641	0.7675	9.4528	-0.5927	0.7979	-0.0013	-0.042	-0.1081	-0.6184	9.3367	2.5304	0.5793	-2.5723	0.2906	0.9704	-1.0822	-0.506	0.7975
-2.0691	-0.5629	9.2725	0.5381	0.1068	0.0878	0.4413	-1.2822	-0.7699	2.0802	0.5376	9.5126	-0.1888	0.7107	0.1505	-0.024	-0.1081	-0.6184	9.2743	2.0183	0.2345	-2.2959	0.1699	0.8997	-1.0497	-0.4854	0.8343
-1.6415	0.2485	9.6785	0.4736	-0.0772	0.1154	0.4601	-1.3019	-0.7694	2.1402	0.2504	9.6295	-0.1917	0.8341	0.1191	-0.03	-0.1201	-0.6184	9.954	2.2449	0.19	-1.7645	0.0298	0.053	-1.0509	-0.5433	0.8147
-2.0106	-0.0953	9.2093	0.3238	0.0423	0.3659	0.5029	-1.3382	-0.6847	2.1368	0.9401	9.5155	0.1126	0.8955	-0.2518	-0.036	-0.1201	-0.6184	9.8472	1.9041	0.531	-1.1777	-0.1073	-1.0104	-1.114	-0.5251	0.8318
-1.7029	0.3077	9.6183	0.1381	0.0406	0.3374	0.4992	-1.3017	-0.717	2.0803	0.4801	9.5123	-0.1072	1.0788	-0.2516	-0.036	-0.1381	-0.6064	9.27	2.1319	0.0057	-0.6462	0.0878	-1.8851	-1.0827	-0.507	0.7442
-1.949	-0.3879	9.2725	-0.0756	0.1912	0.3434	0.5343	-1.3038	-0.7317	2.3722	0.5384	9.811	-0.6928	1.0731	-0.2174	-0.054	-0.1201	-0.6184	9.3326	2.4164	0.3503	0.4873	0.4596	-2.3462	-1.0654	-0.4669	0.8168
-1.5196	-0.1026	9.7434	-0.2614	0.0049	0.5877	0.4802	-1.3015	-0.7348	2.307	0.6517	9.4003	-0.7276	1.2583	-0.2183	-0.048	-0.1381	-0.6124	9.7268	2.359	0.1859	1.9153	0.824	-2.2939	-1.0671	-0.5443	0.7788
-2.0029	-0.3339	9.6211	-0.0803	-0.1145	0.3676	0.4992	-1.3017	-0.717	1.9099	0.8834	9.628	-0.7885	1.2585	-0.1258	-0.024	-0.1201	-0.6244	9.6732	2.416	0.3566	2.8287	1.6399	-1.8845	-1.0991	-0.5454	0.7604
-1.7055	-0.0987	9.4482	0.1094	0.0702	0.4922	0.534	-1.3233	-0.7491	2.4238	0.652	9.5197	-0.7814	0.9818	0.0295	-0.03	-0.1141	-0.5884	9.331	2.0751	0.2356	3.1509	2.0608	-1.522	-1.0507	-0.5429	0.8324
-1.9384	-0.3953	9.8565	0.1084	0.1321	0.309	0.482	-1.3198	-0.7187	2.3738	0.2511	9.8683	-0.8072	0.7339	0.0004	-0.03	-0.1141	-0.6064	9.5084	2.189	0.6394	2.6813	2.1706	-0.6774	-1.0185	-0.5231	0.8337
-2.1229	0.1908	9.6707	0.0155	0.2543	0.0976	0.5165	-1.2836	-0.7154	2.2472	0.1909	9.2214	-0.8697	0.8275	0.1538	-0.048	-0.1141	-0.6304	9.8999	2.6432	0.3609	1.4436	2.0783	-0.6104	-1.0503	-0.5238	0.8331
-1.5217	-0.1011	9.6266	-0.0153	0.1616	0.2497	0.4966	-1.2645	-0.7326	2.0303	0.712	9.9223	-0.7746	0.7047	0.154	-0.048	-0.1201	-0.6184	9.6144	2.3591	0.241	-0.0449	1.8656	-0.629	-1.0659	-0.5049	0.8333
-1.4665	-0.331	9.3386	-0.169	0.2828	0.1313	0.4771	-1.3033	-0.7852	2.479	0.5939	9.4034	-0.4381	0.7365	-0.1247	-0.036	-0.1141	-0.6124	9.2766	1.8478	0.3488	-1.2598	1.5639	-0.8102	-1.0343	-0.5046	0.8162
-2.1267	-0.1565	9.4415	-0.2334	0.1603	0.0679	0.5392	-1.3203	-0.6652	2.1384	0.6528	9.5728	-0.1591	0.6778	-0.0953	-0.03	-0.1201	-0.6184	9.7305	1.9041	0.3572	-1.9351	1.2867	-0.5771	-1.0668	-0.5436	0.8143
-1.9429	-0.2173	9.6207	-0.3609	-0.1162	0.125	0.4987	-1.2633	-0.6991	2.2012	0.6539	9.8668	-0.1635	0.8627	-0.1578	-0.036	-0.1201	-0.6124	9.3806	1.961	-0.1641	-2.2301	0.853	-0.0494	-1.083	-0.5447	0.7785
-2.0066	0.0185	9.4415	-0.3881	0.0665	0.1908	0.5351	-1.3227	-0.7323	1.5617	0.9405	9.3873	0.0507	0.8628	-0.3742	-0.036	-0.1081	-0.6124	9.5505	2.2452	-0.1607	-2.2106	0.783	0.5948	-1.0661	-0.5053	0.8156
-1.4537	-0.3981	10.0401	-0.1403	0.1917	0.0674	0.4838	-1.338	-0.7025	2.1993	0.4809	9.7488	-0.1361	0.9857	-0.2509	-0.042	-0.1141	-0.6244	9.5012	2.0749	0.2387	-2.2441	0.5404	0.5324	-1.0673	-0.5632	0.796
-1.7015	0.0735	9.6796	-0.1098	0.0692	0.2182	0.4804	-1.282	-0.7175	2.3629	0.8239	9.3436	-0.3822	0.9838	-0.188	-0.036	-0.1141	-0.6004	9.5075	2.0752	0.5821	-2.3077	0.3277	0.5019	-1.0989	-0.5635	0.8131
-1.2791	0.0722	9.7454	0.0432	0.0406	0.1234	0.4961	-1.3035	-0.7673	2.37	1.1708	9.7552	-0.4397	0.7662	-0.2478	-0.036	-0.1321	-0.6184	9.5017	2.5299	0.2963	-2.4733	0.1499	0.1674	-1.0986	-0.5443	0.8137
-1.5841	-0.0412	9.508	0.1995	0.1952	0.0632	0.4658	-1.3372	-0.7035	2.3111	0.8253	9.6354	-0.1933	0.8002	-0.188	-0.036	-0.1261	-0.6124	9.5053	2.1888	0.4677	-2.6046	-0.121	-0.046	-1.0827	-0.507	0.7442
-1.3971	-0.1625	9.863	0.1694	0.1023	0.2769	0.4794	-1.2826	-0.7342	2.1972	0.4229	9.6314	-0.0997	0.6755	-0.4029	-0.042	-0.1021	-0.6184	8.9394	2.5308	0.572	-2.7792	-0.1567	0.3277	-1.0346	-0.5053	0.7807
-2.0651	0.3673	9.5528	0.1682	0.072	0.2147	0.4982	-1.3023	-0.7338	1.6765	0.8253	9.389	-0.0744	0.9228	-0.4353	-0.03	-0.1261	-0.6004	9.3306	2.3595	0.2358	-2.1224	-0.1291	0.5234	-1.0512	-0.544	0.7791
-1.3433	-0.0999	9.513	0.1662	0.1651	-0.1215	0.4449	-1.3188	-0.7375	2.3166	0.8266	9.9283	-0.2658	1.2621	-0.3132	-0.048	-0.1021	-0.6184	9.782	1.9607	0.0722	-1.0934	-0.1627	0.7382	-1.0666	-0.5248	0.7972
-1.7536	-0.3984	10.0932	0.354	0.0429	0.304	0.4961	-1.3035	-0.7673	2.1482	0.0797	10.0388	-1.3897	0.5733	0.0047	-0.036	-0.1141	-0.6184	9.2163	2.1321	0.1763	-0.1841	-0.0763	1.0804	-1.0824	-0.5063	0.7797
-2.0025	0.1323	9.6736	0.4778	0.1979	0.0906	0.5534	-1.304	-0.7139	2.1949	0.4799	9.5145	-1.0458	0.424	0.188	-0.036	-0.1321	-0.6064	10.1275	2.1311	0.3647	-0.0547	-0.1093	1.2606	-1.0827	-0.544	0.814
-2.0064	-0.0983	9.4429	0.5072	0.1065	0.0882	0.4472	-1.3754	-0.7393	2.5356	0.9964	9.4063	0.8019	0.4084	-0.1915	-0.036	-0.1081	-0.6184	10.0121	1.9606	0.248	-0.9387	-0.193	0.7333	-1.082	-0.5056	0.8152
-1.6468	0.2522	9.3865	0.3524	0.1051	0.0594	0.498	-1.3217	-0.7512	2.1343	0.4792	9.3377	0.1785	0.7745	-0.0364	-0.03	-0.1261	-0.6244	9.7289	2.4159	0.3004	-2.0255	-0.3298	-0.3415	-1.0818	-0.5053	0.833
-1.8898	0.3707	9.264	0.3522	0.0129	0.1804	0.499	-1.3211	-0.7344	1.9644	0.595	9.452	-0.4994	0.7046	-0.1549	-0.036	-0.1201	-0.6064	9.611	2.5865	0.0695	-1.8662	-0.3784	-1.207	-1.05	-0.5046	0.8337
-2.0079	0.1943	9.3809	0.0468	0.1621	0.2797	0.4794	-1.2826	-0.7342	2.4239	0.5945	9.5194	-0.9924	0.7317	-0.0293	-0.042	-0.1261	-0.6184	9.3874	2.3025	0.2368	-0.428	-0.0347	-1.8312	-1.0666	-0.5433	0.8321
-2.011	0.1965	9.2057	0.1094	0.1932	0.3104	0.5194	-1.3786	-0.7351	2.3141	0.3657	9.7505	-0.8665	0.5775	-0.1213	-0.036	-0.1141	-0.6244	9.5549	2.0747	0.0681	1.2092	0.6076	-2.0594	-1.0503	-0.5238	0.8331
-1.8882	-0.0386	9.3275	0.0783	0.2545	0.1891	0.5701	-1.3249	-0.747	2.435	0.5396	10.105	-0.7409	0.4863	-0.0907	-0.042	-0.1081	-0.6244	9.2789	2.5304	0.5211	2.444	1.2962	-1.2612	-1.05	-0.5231	0.8686
-2.0056	0.0761	9.4991	0.3228	0.0427	0.2737	0.4804	-1.282	-0.7175	1.8521	0.5382	9.5667	-0.805	0.6096	-0.0604	-0.042	-0.1141	-0.6184	9.1576	2.0752	0.0608	2.8399	1.8945	-0.5307	-1.0505	-0.5057	0.7803
-2.2537	0.0816	9.0861	0.2963	0.2867	0.31	0.466	-1.3178	-0.6861	1.8488	0.5374	9.391	-0.6744	0.3344	0.1249	-0.024	-0.1021	-0.6184	9.904	1.8472	0.532	2.448	2.2552	-0.2088	-1.0665	-0.506	0.78
-2.064	0.3082	9.6119	0.7911	0.3837	0.2137	0.4817	-1.3392	-0.736	2.0809	0.7679	9.5722	-0.889	0.3019	0.1878	-0.03	-0.1201	-0.6124	9.498	2.1317	0.0671	1.6716	2.0732	-0.2485	-1.0654	-0.4854	0.8517
