1827_acc_x	1827_acc_y	1827_acc_z	1827_gyro_x	1827_gyro_y	1827_gyro_z	1827_mag_x	1827_mag_y	1827_mag_z	1828_acc_x	1828_acc_y	1828_acc_z	1828_gyro_x	1828_gyro_y	1828_gyro_z	1828_mag_x	1828_mag_y	1828_mag_z	1829_acc_x	1829_acc_y	1829_acc_z	1829_gyro_x	1829_gyro_y	1829_gyro_z	1829_mag_x	1829_mag_y	1829_mag_z
-1.1451	-0.2991	9.7091	-0.1907	-0.1877	0.319	-0.0994	0.6885	-0.8058	1.2476	-0.0639	9.608	-0.5279	0.3921	0.1409	-0.0306	-0.9043	-1.8328	9.9856	1.0741	-0.3526	-1.1301	0.6053	0.7572	-0.9531	0.3872	-0.2491
-0.7419	-0.5889	9.9445	-0.1024	-0.3422	0.2843	-0.1564	0.6977	-0.8595	1.07	0.2287	9.6055	-0.5886	0.4541	0.1719	0.0876	-0.3164	-1.6018	9.5327	0.7889	-0.1343	-1.3202	0.4517	0.6688	-1.0455	-0.0955	-0.4705
-0.984	-0.7649	9.1973	-0.2881	-0.3415	0.2895	-0.2136	0.7028	-0.8772	1.367	0.2283	9.7258	-0.7714	0.5163	0.204	0.0029	-0.3126	-1.6269	10.0352	0.8993	-0.808	-1.291	0.577	0.5148	-1.0615	-0.0966	-0.418
-0.9721	-0.3569	9.8265	-0.319	-0.3414	0.2903	-0.1374	0.6946	-0.8416	1.0093	-0.0053	9.4889	-0.4041	0.3321	0.2638	0.0012	-0.3768	-1.5662	9.8759	0.9028	-0.1276	-1.4496	0.6091	0.3339	-1.078	-0.1154	-0.3828
-1.083	-0.9946	9.9366	-0.0691	-0.2809	0.3146	-0.1174	0.6758	-0.8395	1.0144	0.2293	9.7766	-0.7408	0.2698	0.1747	0.0043	-0.3334	-1.626	9.6368	1.3623	-0.5856	-1.5951	0.7571	0.6444	-1.0256	-0.1516	-0.3807
-1.3693	-0.4144	9.8756	-0.0086	-0.3429	0.3123	-0.1386	0.7061	-0.7898	1.2393	0.1686	9.207	-0.7417	0.2997	0.1127	0.034	-0.3154	-1.5789	9.5868	1.3642	-0.1879	-1.5679	0.6977	0.5209	-1.0463	-0.149	-0.5046
-1.0287	-0.6469	9.8246	-0.1921	-0.2495	0.3184	-0.1348	0.6368	-0.7991	1.4879	-0.0637	9.8419	-0.5265	0.7325	0.2928	-0.0132	-0.3741	-1.6268	9.8155	0.9023	-0.2995	-1.346	0.7581	0.7006	-0.9918	-0.0967	-0.4162
-0.9184	-0.4155	9.6562	-0.3128	-0.1567	0.3533	-0.0812	0.7075	-0.826	1.3076	-0.0638	9.6664	-0.5888	0.5464	0.1712	-0.0335	-0.3734	-1.6293	9.41	0.7299	-0.5924	-1.2101	1.1542	0.9747	-1.0098	-0.0421	-0.4354
-1.4253	-0.1821	9.9323	-0.2874	-0.0305	0.0789	-0.063	0.7244	-0.8283	1.42	0.4026	9.4406	-0.9242	0.4238	0.1752	-0.0327	-0.3325	-1.6158	9.8147	1.1326	-0.2986	-1.4409	1.0683	0.4265	-1.0271	-0.0782	-0.4351
-1.0297	-0.7631	9.7671	-0.378	0.0626	0.0824	-0.1366	0.6747	-0.8214	1.48	-0.0065	9.4404	-0.8016	0.3625	0.2055	-0.0558	-0.2901	-1.6199	9.6456	1.2491	-0.1303	-1.2245	0.9463	0.4832	-1.0271	-0.1144	-0.4344
