1757_acc_x	1757_acc_y	1757_acc_z	1757_gyro_x	1757_gyro_y	1757_gyro_z	1757_mag_x	1757_mag_y	1757_mag_z	1758_acc_x	1758_acc_y	1758_acc_z	1758_gyro_x	1758_gyro_y	1758_gyro_z	1758_mag_x	1758_mag_y	1758_mag_z	1759_acc_x	1759_acc_y	1759_acc_z	1759_gyro_x	1759_gyro_y	1759_gyro_z	1759_mag_x	1759_mag_y	1759_mag_z
0.0487	-0.425	9.2773	-0.7467	-0.0946	-0.0914	0.5094	-0.0753	-0.9274	2.4788	-0.7472	9.6726	-0.2397	0.5798	-0.0458	0.2244	-0.3035	-0.8809	9.8026	-0.4579	0.662	-1.6012	1.0263	0.7752	-0.4128	-0.6525	-0.4275
-0.2872	-0.1933	9.6696	-0.5935	-0.0939	-0.0918	0.522	-0.0551	-0.9064	1.9052	-0.5771	9.7739	-0.177	0.6423	-0.1068	0.2377	-0.287	-0.8966	9.6851	-0.6899	0.6588	-0.7099	1.0661	0.191	-0.0208	-0.3608	-0.6416
-0.2917	-0.1943	9.4422	-0.593	-0.0014	-0.121	0.5072	-0.0791	-0.8604	1.7851	-0.5207	9.545	-0.6385	0.7898	-0.1057	0.2503	-0.3186	-0.8805	9.7372	-0.1105	0.3628	-0.6836	0.9195	-0.4196	-0.0906	-0.4137	-0.5774
0.7468	-0.3657	9.8594	-0.5021	-0.2171	-0.0328	0.4793	-0.0402	-0.9088	2.2492	-0.4651	9.7246	-0.3619	0.6999	0.1094	0.2248	-0.2717	-0.8973	10.0935	-0.5757	0.4273	-0.5923	0.8599	-0.5419	-0.0492	-0.4097	-0.6393
0.2875	-0.1358	9.7947	-0.2567	-0.1227	-0.1239	0.4934	-0.0579	-0.8917	2.3097	-0.7468	9.8389	-0.3932	0.6687	0.1399	0.1862	-0.2709	-0.9108	9.8023	-0.8066	0.6006	-0.8035	0.7573	0.4374	-0.0913	-0.4436	-0.6223
0.286	0.4384	9.7402	-0.073	-0.0587	-0.2768	0.4525	-0.0427	-0.9469	1.7375	-0.6329	9.9968	-0.3326	0.5486	-0.1387	0.2633	-0.3186	-0.8808	9.8033	-0.2834	0.7226	-1.4429	0.9259	1.6614	-0.0345	-0.3626	-0.6106
-0.1142	-0.3655	9.729	-0.5937	-0.0932	-0.1531	0.5075	-0.0583	-0.892	1.7302	-0.0135	9.7141	-0.4882	0.455	-0.2014	0.2247	-0.3024	-0.8953	9.9184	-0.4586	0.5443	-2.2673	1.249	2.6714	-0.0209	-0.3778	-0.6253
-0.3465	-0.481	9.5535	-0.5027	-0.1214	-0.3379	0.4934	-0.0233	-0.9266	1.9032	-0.8025	9.6604	-0.456	0.5769	-0.0152	0.2506	-0.3022	-0.8958	9.9805	-0.3419	0.7257	-2.2953	1.3056	3.0992	-0.049	-0.3936	-0.6401
0.0519	-0.252	9.4486	-0.7472	-0.1872	-0.0622	0.5361	-0.0555	-0.9068	2.3072	-0.6905	9.7256	-0.2716	0.4885	-0.2009	0.2511	-0.2705	-0.9122	10.0971	-0.6911	0.6066	-1.5566	1.2175	3.0052	-0.0351	-0.4112	-0.6081
0.0068	-0.1918	10.0731	-0.6555	-0.1235	-0.2148	0.5075	-0.0583	-0.892	1.8942	0.0985	9.3214	-0.1783	0.55	-0.0461	0.2383	-0.2848	-0.9253	9.7344	-0.2855	0.1823	-1.0713	0.862	2.0577	-0.1045	-0.3952	-0.6248
