1818_acc_x	1818_acc_y	1818_acc_z	1818_gyro_x	1818_gyro_y	1818_gyro_z	1818_mag_x	1818_mag_y	1818_mag_z	1819_acc_x	1819_acc_y	1819_acc_z	1819_gyro_x	1819_gyro_y	1819_gyro_z	1819_mag_x	1819_mag_y	1819_mag_z	1820_acc_x	1820_acc_y	1820_acc_z	1820_gyro_x	1820_gyro_y	1820_gyro_z	1820_mag_x	1820_mag_y	1820_mag_z
-0.4193	-0.2311	9.8019	0.4906	0.4076	-0.0096	0.5464	-0.1741	-0.2822	2.7107	1.8037	8.9497	-0.9776	0.4453	0.2842	0.0026	-0.9916	-0.9607	9.5506	-2.4232	-0.3169	-0.3263	2.2469	-1.6864	-1.1877	0.0545	0.646
-0.7677	-0.0583	9.6773	0.3612	0.3511	-0.1898	0.4383	-0.1201	-0.2462	2.7663	1.6889	8.8318	-1.223	0.4804	0.2226	0.2172	-0.9642	-0.8534	9.6212	-2.3061	0.3849	-0.5641	2.2465	-1.4042	-1.1928	0.7974	0.5127
-0.1913	-0.0593	9.6886	0.3943	0.2891	-0.0689	0.4563	-0.1201	-0.2522	2.6508	1.7464	8.8295	-1.2546	0.45	0.2838	0.2308	-0.927	-0.837	9.2709	-2.2496	-0.0303	-0.9276	2.3085	-1.241	-1.2105	0.8326	0.5087
-0.4129	-0.6903	10.0963	0.4591	0.3173	0.0212	0.4383	-0.1201	-0.2702	2.7653	1.5743	8.7721	-1.0671	0.5402	-0.0231	0.2153	-0.8698	-0.8215	9.6142	-2.2499	0.035	-1.2024	2.6476	-1.0101	-1.1583	0.8167	0.4931
-0.254	-0.4048	9.3911	0.2403	0.3566	-0.0953	0.4563	-0.1141	-0.2582	2.7703	1.9755	9.07	-0.943	0.5693	-0.1459	0.3006	-0.8516	-0.8573	9.8938	-1.5629	-0.1903	-1.5053	2.5557	-0.9758	-1.157	0.8089	0.5664
-0.415	-0.1155	10.0386	0.2411	0.3567	-0.0648	0.4563	-0.1141	-0.2762	2.663	1.6331	9.4235	-0.8532	0.4748	0.0688	0.1875	-0.9073	-0.8202	9.8408	-1.9637	-0.0178	-1.5411	2.6797	-1.1257	-1.193	0.8325	0.509
-0.8796	-0.0576	9.8524	0.0537	0.5777	-0.2725	0.4503	-0.1201	-0.2642	2.1417	1.1761	9.2336	-0.6408	0.3175	0.0972	0.2297	-0.8709	-0.8036	9.5547	-2.1355	-0.0825	-1.424	2.5571	-1.4398	-1.2282	0.7663	0.4792
-0.3628	-0.2313	9.7439	0.0255	0.4878	-0.1198	0.4383	-0.1141	-0.2522	2.7145	1.6896	9.1277	-0.4235	0.4061	0.0683	0.2297	-0.8871	-0.8742	9.6125	-1.8486	-0.0219	-1.1746	2.5557	-1.1982	-1.1751	0.8129	0.5295
-0.8263	-0.1158	9.617	0.239	0.4785	-0.2166	0.4503	-0.1141	-0.2462	2.9425	1.8033	9.0138	-0.3056	0.1578	0.2185	0.2303	-0.907	-0.8556	9.5564	-1.7336	0.0357	-1.9674	2.5883	-1.1506	-1.2108	0.8345	0.4904
-0.2429	0.2866	10.0429	0.1486	0.5131	-0.1532	0.4443	-0.1201	-0.2522	3.0588	1.4024	9.0154	-0.6443	0.1334	0.0939	0.2585	-0.8887	-0.8561	9.7767	-1.8501	-0.3687	-1.8139	2.5263	-1.1554	-1.1762	0.9045	0.4835
