1546_acc_x	1546_acc_y	1546_acc_z	1546_gyro_x	1546_gyro_y	1546_gyro_z	1546_mag_x	1546_mag_y	1546_mag_z	1548_acc_x	1548_acc_y	1548_acc_z	1548_gyro_x	1548_gyro_y	1548_gyro_z	1548_mag_x	1548_mag_y	1548_mag_z	1549_acc_x	1549_acc_y	1549_acc_z	1549_gyro_x	1549_gyro_y	1549_gyro_z	1549_mag_x	1549_mag_y	1549_mag_z
-0.1703	1.2969	9.4462	-0.4266	0.0347	-0.1853	-0.4209	-1.1903	-0.9791	-0.0583	2.5839	9.7441	-0.3688	0.0324	0.0969	0.1207	0.0334	-1.6601	9.9055	2.0925	0.1251	-0.5804	-0.1239	-0.1452	-0.1801	-0.2402	0.0781
-0.11	1.3547	9.5625	-0.3039	0.2684	0.0739	-0.8007	1.2526	-0.9373	0.3422	1.7168	9.4022	-0.2428	0.2778	0.0813	1.271	0.6155	1.0255	9.8988	2.0916	-0.2167	-0.5208	-0.0569	-0.3267	-0.1681	-0.2402	0.0781
0.1802	1.0657	9.5101	-0.2435	0.0883	-0.0583	-0.821	1.2308	-1.026	0.3983	1.5434	9.287	-0.1857	0.0061	-0.0609	1.3056	0.5699	1.048	9.4265	2.0336	-0.3397	-0.37	-0.1148	-0.4847	-0.1741	-0.2462	0.0901
-0.0023	1.0651	9.1041	-0.2448	0.0502	0.0933	-0.7823	1.2765	-0.9374	-0.1177	2.1219	9.6264	-0.336	0.2824	0.0199	1.2728	0.6614	1.0677	9.7834	2.2084	-0.1047	-0.1845	-0.0647	-0.1761	-0.1681	-0.2402	0.0901
0.0109	0.7783	9.736	-0.274	0.1181	-0.0262	-0.7645	1.2773	-0.9591	0.1164	1.8908	9.7463	-0.5525	0.0617	0.1928	1.2705	0.5923	1.0257	9.6626	2.1499	-0.278	-0.123	-0.0046	-0.1427	-0.1681	-0.2522	0.0781
-0.3375	1.1251	9.7874	-0.4583	0.1441	0.1277	-0.8188	1.2042	-0.9144	0.2926	1.7175	9.8653	-0.5528	0.0632	0.1619	1.2527	0.5449	1.0685	9.4843	1.917	-0.3958	-0.1237	-0.0334	-0.2057	-0.1681	-0.2462	0.0901
0.0596	0.8924	9.2773	-0.4565	0.2144	-0.0529	-0.8194	1.2529	-0.96	0.2261	1.8902	9.4003	-0.3969	0.1498	0.2289	1.3241	0.5934	1.0695	9.7245	2.2667	-0.1057	-0.2754	-0.2535	-0.0314	-0.1801	-0.2642	0.0901
0.0636	0.6622	9.4493	-0.3054	0.0259	-0.0313	-0.7459	1.2769	-0.9365	0.4619	2.0057	9.6367	-0.3977	0.0561	0.2538	1.2705	0.5923	1.0257	9.6038	2.15	-0.2791	-0.2449	-0.1287	-0.0867	-0.1681	-0.2462	0.0901
-0.0495	1.3548	9.6787	-0.2154	-0.103	0.0546	-0.8373	1.2284	-0.9377	0.4632	1.8325	9.6945	-0.3401	-0.0881	0.0269	1.237	0.6371	1.0672	9.6648	2.1502	-0.164	-0.3634	-0.0154	0.2584	-0.1801	-0.2342	0.0961
-0.34	1.2401	9.6726	-0.2731	0.1533	-0.1165	-0.7812	1.2992	-0.8936	0.3991	1.7744	9.3453	-0.3341	0.2088	0.2635	1.236	0.5907	1.0677	9.9534	1.8581	-0.444	-0.3029	0.0168	0.1981	-0.1561	-0.2342	0.0841
