1818_acc_x	1818_acc_y	1818_acc_z	1818_gyro_x	1818_gyro_y	1818_gyro_z	1818_mag_x	1818_mag_y	1818_mag_z	1819_acc_x	1819_acc_y	1819_acc_z	1819_gyro_x	1819_gyro_y	1819_gyro_z	1819_mag_x	1819_mag_y	1819_mag_z	1820_acc_x	1820_acc_y	1820_acc_z	1820_gyro_x	1820_gyro_y	1820_gyro_z	1820_mag_x	1820_mag_y	1820_mag_z
-1.5824	1.2073	9.3691	-0.284	0.5921	-0.2032	0.5764	-0.042	0.5043	2.4899	1.1755	9.3596	0.0293	-0.0623	0.0916	1.2014	0.2232	0.7105	9.5077	1.7108	0.7473	0.1014	1.8412	-0.566	-1.051	0.4456	0.5523
-1.7556	1.3801	9.3662	-0.3124	0.6852	-0.1715	0.1801	0.3062	-0.1441	2.6648	0.8891	9.422	-0.1517	0.1852	0.3737	1.1731	0.2057	0.6931	9.4499	2.2272	0.748	0.2209	1.8721	-0.6599	-1.0787	0.7389	1.0642
-1.8062	1.2086	9.7193	-0.0395	0.49	-0.2403	0.1861	0.3242	-0.1021	2.4334	0.7178	9.3575	0.1257	0.151	0.0956	1.1578	0.2452	0.6736	9.6719	1.7667	0.4008	0.3445	1.81	-0.6334	-1.0966	0.7077	1.0309
-1.7526	0.978	9.4834	-0.0984	0.4624	-0.117	0.1801	0.3062	-0.1321	2.3802	0.8329	9.5942	0.0047	0.2455	0.0044	1.1584	0.2245	0.7101	9.5624	1.7677	0.6319	0.1979	1.871	-0.3204	-1.0795	0.7096	1.0129
-1.8086	1.3233	9.6013	-0.22	0.5288	-0.0831	0.1861	0.3122	-0.1141	2.7848	0.8893	9.662	-0.0529	0.4613	0.039	1.2018	0.2202	0.7819	9.7362	2.2269	0.8121	0.3502	1.6553	-0.4838	-1.0794	0.692	1.0148
-1.5752	0.9782	9.7232	-0.1026	0.4619	-0.2694	0.1741	0.3062	-0.1141	2.2591	0.7754	9.2946	-0.1799	0.3087	0.314	1.1725	0.2256	0.6745	8.9964	1.8841	0.8543	0.4451	1.7468	-0.2673	-1.0967	0.7253	1.0291
-1.4623	1.0352	9.6074	-0.2523	0.5909	-0.1735	0.1861	0.3122	-0.1381	2.3771	1.1188	9.4759	-0.452	0.5292	0.1013	1.1871	0.2237	0.7103	9.6169	1.8819	0.5168	0.4474	1.685	-0.2074	-1.044	0.6723	1.0355
-1.8728	1.2076	9.2453	-0.1623	0.4342	-0.1766	0.1801	0.3062	-0.1321	2.8411	0.9463	9.6039	-0.577	0.4391	0.1304	1.1869	0.2244	0.6925	9.6283	1.9413	1.1005	0.5423	1.5919	-0.1195	-1.044	0.723	1.0483
-1.7578	1.9549	9.3085	-0.3787	0.3212	-0.111	0.1801	0.3002	-0.1141	2.8921	0.7737	9.2482	-0.3886	0.6204	0.0722	1.1587	0.2061	0.693	9.27	1.9963	0.2769	0.6329	1.7457	-0.0553	-1.0445	0.7094	1.0135
-1.4659	1.1498	9.4303	-0.3085	0.6246	0.0111	0.1741	0.3062	-0.1261	2.6052	1.1753	9.362	-0.1422	0.6164	0.0107	1.1444	0.2065	0.6929	9.79	2.1115	0.6377	0.4569	1.6835	0.2239	-1.0617	0.7075	1.0315
-1.7529	1.1504	9.4838	-0.3433	0.6865	-0.1707	0.1801	0.2942	-0.1441	2.1458	0.9476	9.4114	-0.3593	0.4981	-0.177	1.1873	0.206	0.6754	9.3394	2.1133	0.9204	0.8566	1.6513	0.3383	-1.079	0.7408	1.0458
-1.6351	1.6106	9.6645	-0.3747	0.6572	-0.1701	0.1741	0.3062	-0.1321	2.3149	1.0613	9.2369	-0.2058	0.4951	-0.0842	1.1732	0.2049	0.711	9.2257	1.884	0.9173	0.8193	1.8369	0.1594	-1.0786	0.6706	1.0533
-2.0366	1.1515	9.7146	-0.1862	0.6498	-0.0527	0.1801	0.3182	-0.1261	2.665	0.7746	9.4218	-0.1404	0.6786	-0.1734	1.2022	0.1849	0.712	9.6256	2.1704	0.9847	0.8548	1.7746	0.3418	-1.097	0.7272	1.0108
