1757_acc_x	1757_acc_y	1757_acc_z	1757_gyro_x	1757_gyro_y	1757_gyro_z	1757_mag_x	1757_mag_y	1757_mag_z	1758_acc_x	1758_acc_y	1758_acc_z	1758_gyro_x	1758_gyro_y	1758_gyro_z	1758_mag_x	1758_mag_y	1758_mag_z	1759_acc_x	1759_acc_y	1759_acc_z	1759_gyro_x	1759_gyro_y	1759_gyro_z	1759_mag_x	1759_mag_y	1759_mag_z
-2.1196	0.1526	9.6354	-0.0725	-0.0286	-0.2149	1.0491	0.0673	-0.7952	3.2848	0.4343	9.8038	-0.4552	0.6382	-0.0146	-0.2473	-0.2927	-0.6434	8.8305	2.9663	-0.4194	-0.2516	0.3304	0.4985	-0.2888	-0.6926	-0.5486
-2.1857	0.0359	9.179	-0.1945	-0.0309	-0.0613	0.6615	0.1519	-1.081	3.1651	0.3217	9.5747	-0.1476	0.5207	-0.2005	0.0031	-0.3222	-0.8466	9.3556	2.2665	-0.8318	-0.1576	0.39	0.6813	-0.2755	-0.741	-0.546
-2.1163	0.2108	9.8062	-0.1023	0.0313	-0.0912	0.6894	0.1649	-1.0851	2.9322	0.4347	9.4567	-0.5481	0.6074	-0.1691	-0.0098	-0.3223	-0.8463	9.2426	2.9651	-0.4716	-0.1287	0.2697	0.4984	-0.2746	-0.6957	-0.4864
-1.8914	-0.2499	9.5813	-0.1329	-0.0942	0.1215	0.6764	0.1586	-1.1095	2.9901	0.2656	9.4578	-0.4865	0.5783	-0.2926	0.0037	-0.3354	-0.8742	9.4741	2.5568	-0.7685	0.0913	0.5729	0.8323	-0.261	-0.7109	-0.501
-2.2901	-0.0193	9.6882	-0.3155	0.2768	-0.1479	0.676	0.155	-1.0954	3.1077	0.8851	9.6306	-0.3975	0.3025	-0.1412	-0.0096	-0.3365	-0.8596	9.1236	2.9071	-0.5339	0.1528	0.6355	0.7095	-0.2746	-0.6957	-0.4864
-2.2341	0.0953	9.6329	-0.3791	0.0014	-0.2749	0.7321	0.1673	-1.1002	2.8783	0.4349	9.6254	-0.4302	0.1784	0.0117	-0.0099	-0.3376	-0.8453	9.0637	2.7908	-0.5954	0.1847	0.7268	0.7701	-0.2327	-0.6789	-0.487
-2.1241	0.2091	9.4082	-0.4093	0.0627	-0.2738	0.7172	0.1952	-1.1067	3.2247	0.4906	9.6893	-0.5519	0.33	0.0439	0.0035	-0.3058	-0.8619	9.5953	3.0802	-0.5244	-0.1869	0.7286	0.4658	-0.2609	-0.6939	-0.5174
-2.2936	0.2097	9.5186	-0.3483	0.0326	-0.3051	0.6909	0.179	-1.1414	2.8309	0.7734	10.1342	-0.5831	0.2989	0.0436	0.004	-0.319	-0.8896	9.473	3.0214	-0.7665	-0.0976	0.6728	-0.0232	-0.2751	-0.7094	-0.5321
-2.4621	0.3255	9.6863	-0.2266	-0.1208	-0.2773	0.7035	0.1645	-1.0855	3.3489	0.2091	10.088	-0.4276	0.3925	0.1063	-0.0095	-0.3212	-0.8606	9.6537	2.3827	-0.6461	-0.4026	0.9448	0.1905	-0.2606	-0.6972	-0.4553
-2.407	0.1526	9.573	-0.287	-0.1239	-0.0319	0.6898	0.1684	-1.0992	3.3393	0.1524	9.6348	-0.208	0.6416	-0.0452	0.0032	-0.3069	-0.8476	9.7211	2.0939	-0.2269	-0.3417	0.8223	0.2214	-0.3029	-0.7285	-0.4849
-2.6924	0.4977	9.6257	0.0197	-0.0603	-0.093	0.7031	0.1783	-1.0889	3.2203	0.2651	9.4626	0.3181	0.7388	0.172	0.0155	-0.3396	-0.8171	9.052	2.6139	-1.2552	-0.5892	0.7609	0.1615	-0.2886	-0.6764	-0.5494
-2.0657	0.2093	9.4662	-0.1651	-0.2777	0.0266	0.6894	0.1649	-1.0851	2.9314	0.2093	9.3999	0.3171	0.6476	0.0478	0.0032	-0.3069	-0.8476	9.3604	2.5581	-0.531	-0.4969	0.7928	0.0693	-0.2609	-0.7117	-0.4855
-2.2974	0.8409	9.3507	-0.226	-0.0601	-0.215	0.7047	0.1405	-1.0927	3.1076	0.2654	9.5735	0.2569	0.7699	-0.0127	0.0043	-0.2577	-0.8936	9.5948	2.3247	-0.6474	-0.2811	0.7314	0.1605	-0.2608	-0.676	-0.5493
-2.4125	0.094	9.2885	-0.0117	-0.2148	-0.0341	0.6897	0.1857	-1.1167	2.936	0.3221	9.6265	-0.0189	0.9495	0.1122	0.0034	-0.3211	-0.8609	9.5431	2.5008	-0.2284	-0.281	0.6381	0.3138	-0.2474	-0.726	-0.5156
-2.1218	0.0373	9.5212	-0.0415	-0.061	-0.0622	0.689	0.1787	-1.0885	3.1633	-0.0164	9.4611	0.0139	1.0744	-0.164	-0.0224	-0.306	-0.8614	9.1237	2.849	-0.5342	-0.3119	0.7934	0.0687	-0.2892	-0.7623	-0.4521
-2.2969	0.0367	9.3473	0.2348	-0.0611	0.0597	0.6886	0.1752	-1.0745	3.1108	0.4909	9.7436	-0.0515	0.7974	-0.136	0.0038	-0.3047	-0.8763	9.4201	2.7324	-0.4693	-0.4676	0.6406	0.0088	-0.2604	-0.6615	-0.5191
-2.1859	0.3231	9.1802	0.1422	-0.0908	-0.0632	0.6768	0.1448	-1.1061	3.5105	0.321	9.582	-0.3291	0.825	-0.1976	0.0168	-0.3649	-0.8869	9.4232	2.3845	-0.3509	-0.404	0.8234	0.0994	-0.2745	-0.6787	-0.5028
-2.5137	0.0969	9.9685	0.0792	-0.3366	-0.0977	0.7187	0.1747	-1.128	3.2208	0.0398	9.4624	-0.3292	0.7955	-0.3828	-0.0096	-0.3365	-0.8596	9.3086	2.7923	-0.1118	-0.2815	0.8875	-0.1458	-0.2887	-0.6934	-0.5331
