1824_acc_x	1824_acc_y	1824_acc_z	1824_gyro_x	1824_gyro_y	1824_gyro_z	1824_mag_x	1824_mag_y	1824_mag_z	1825_acc_x	1825_acc_y	1825_acc_z	1825_gyro_x	1825_gyro_y	1825_gyro_z	1825_mag_x	1825_mag_y	1825_mag_z	1826_acc_x	1826_acc_y	1826_acc_z	1826_gyro_x	1826_gyro_y	1826_gyro_z	1826_mag_x	1826_mag_y	1826_mag_z
-1.3463	0.5436	9.3881	0.0417	0.0105	0.0305	-1.3078	1.1801	-1.4907	2.5398	0.422	9.5794	-0.1197	0.2762	-0.0931	0.5404	-0.036	-0.7085	9.6695	1.9609	0.1273	-0.4527	1.3354	0.27	-0.9133	-0.273	-0.2041
-1.5229	0.716	9.6163	-0.2011	0.1907	0.1604	1.149	-0.7256	-1.1101	2.4827	0.9975	9.6395	-0.2167	0.3966	-0.3391	-0.0901	-0.3782	0.1381	9.6125	2.1884	0.1264	-0.5795	1.3062	0.1814	-0.9091	-0.4873	0.5884
-1.7661	1.0096	9.4916	-0.2307	0.2822	0.132	1.2015	-0.6902	-1.1058	2.3616	0.9386	9.2856	-0.1897	0.6459	-0.1564	-0.1021	-0.3782	0.1201	9.6074	2.1314	-0.1598	-0.5208	1.1554	0.0863	-0.8444	-0.4469	0.6264
-1.5207	0.7145	9.7331	-0.2052	0.1002	-0.0875	1.1453	-0.689	-1.1425	2.0273	1.1716	9.8072	-0.0669	0.6466	-0.2186	-0.0841	-0.3782	0.0961	9.503	2.3025	0.3534	-0.7914	1.0296	0.3699	-0.828	-0.4086	0.6102
-1.586	0.5432	9.4423	-0.108	0.253	0.0991	1.1806	-0.6717	-1.1398	2.3696	0.7679	9.6948	-0.0413	0.9896	0.0558	-0.0841	-0.3782	0.1261	9.5606	1.62	0.3539	-0.8887	0.8183	0.2482	-0.8452	-0.4856	0.6074
-1.3362	0.8864	9.9677	-0.0476	0.1927	0.0663	1.1832	-0.7089	-1.1242	2.2553	0.5956	9.6919	0.1115	0.9894	-0.1295	-0.0961	-0.3782	0.1141	9.3762	2.1315	-0.3929	-0.9459	0.8161	0.4036	-0.8611	-0.4859	0.6071
-0.8652	0.8348	9.3929	-0.0805	0.0702	0.064	1.1655	-0.6886	-1.1079	2.0818	0.8832	9.6313	-0.0076	0.8348	-0.0049	-0.0901	-0.3782	0.1321	9.721	2.0175	-0.1578	-0.8829	0.8461	0.4326	-0.8765	-0.4667	0.6252
-1.2778	0.6544	9.8549	-0.1127	0.0704	-0.0586	1.183	-0.6511	-1.0889	2.1353	0.537	9.3965	-0.0345	0.649	-0.0037	-0.0961	-0.3843	0.1201	9.4941	1.904	-0.162	-1.0142	0.88	0.191	-0.8604	-0.4661	0.6433
-0.6714	0.4172	10.102	-0.1112	0.1005	0.0343	1.1791	-0.634	-1.1386	2.2493	0.8818	9.4003	-0.0613	0.4632	-0.0024	-0.0841	-0.3843	0.1261	9.7266	1.7334	0.1282	-0.7595	1.0292	0.3997	-0.8603	-0.4472	0.6261
-1.7632	1.1825	9.6646	-0.0186	0.04	0.1241	1.2007	-0.6713	-1.1052	2.4259	0.71	9.6371	-0.2773	0.4925	0.0602	-0.1021	-0.3782	0.1141	9.445	1.6201	0.2373	-0.9765	0.9378	0.4055	-0.8611	-0.5044	0.642
-1.2823	0.8324	9.6191	0.0054	-0.2337	-0.0974	1.2188	-0.6721	-1.1042	2.2466	1.1689	9.2844	-0.2824	0.7083	-0.0026	-0.0961	-0.3662	0.1081	9.7248	2.302	0.0714	-0.8522	1.3948	0.3747	-0.8449	-0.4849	0.643
