1546_acc_x	1546_acc_y	1546_acc_z	1546_gyro_x	1546_gyro_y	1546_gyro_z	1546_mag_x	1546_mag_y	1546_mag_z	1548_acc_x	1548_acc_y	1548_acc_z	1548_gyro_x	1548_gyro_y	1548_gyro_z	1548_mag_x	1548_mag_y	1548_mag_z	1549_acc_x	1549_acc_y	1549_acc_z	1549_gyro_x	1549_gyro_y	1549_gyro_z	1549_mag_x	1549_mag_y	1549_mag_z
-2.026	-0.5442	9.4624	0.0015	0.1454	-0.0229	0.1114	1.0404	-2.4824	2.84	-0.4225	9.6183	-0.0889	0.309	0.0205	0.5374	-0.6429	-2.1564	9.7321	-2.4482	-0.0031	0.6598	-0.2895	-1.0864	-0.1321	-0.2041	-0.2642
-1.857	-0.7182	9.1779	0.0609	-0.0993	-0.0971	0.3266	0.6663	-0.7829	2.6076	0.0398	9.6147	-0.2476	0.1055	-0.1783	0.5156	-0.3472	-1.7545	9.4965	-2.0404	-0.0066	0.4513	-0.4622	-0.4479	-0.0961	-0.2582	-0.3782
-1.6245	-0.7186	9.1826	-0.0598	-0.0582	-0.2801	0.3628	0.691	-0.8047	2.4319	-0.1334	9.4954	-0.1535	0.2592	-0.1998	0.5151	-0.3704	-1.7543	9.6771	-1.8654	0.2251	0.1221	-0.5446	0.2884	-0.1021	-0.2582	-0.3903
-1.9149	-0.8333	9.1765	-0.121	0.0587	-0.1206	0.3275	0.7133	-0.7618	2.0278	-0.537	9.5456	-0.1225	0.1604	-0.0822	0.5323	-0.3696	-1.7753	9.0884	-1.9813	0.1567	-0.1161	-0.5324	0.9367	-0.0841	-0.2522	-0.3843
-1.7365	-0.5449	9.4107	-0.0275	0.1853	-0.2054	0.3434	0.5963	-0.8251	2.3096	-0.0182	9.1453	-0.1848	0.1644	-0.1437	0.5329	-0.323	-1.7971	10.0201	-2.2164	-0.2818	-0.0201	-0.1757	1.3235	-0.0841	-0.2462	-0.3903
-2.0309	-0.4294	9.2327	-0.2131	-0.0297	-0.1874	0.381	0.6912	-0.8042	2.6595	-0.134	9.2675	-0.2763	0.2259	-0.1082	0.5152	-0.347	-1.7759	9.5517	-2.856	-0.2353	0.0093	-0.0778	1.1438	-0.0961	-0.2702	-0.4023
-1.9138	-0.2565	9.2929	-0.242	0.1852	-0.1453	0.3453	0.6659	-0.7602	2.3173	-0.3641	9.551	-0.151	0.247	0.0478	0.5513	-0.3229	-1.754	9.6742	-2.2151	0.0533	-0.0832	0.2405	0.8537	-0.0961	-0.2642	-0.3782
-1.7914	-1.0057	9.5234	-0.1191	0.3041	-0.0767	0.345	0.6903	-0.783	2.3174	-0.4219	9.5509	-0.2747	0.2184	0.0465	0.516	-0.324	-1.7547	9.9721	-2.8554	0.2283	0.0101	0.3887	1.0143	-0.0901	-0.2582	-0.3903
-1.7923	-1.1211	9.4657	-0.0579	0.3033	-0.0763	0.3449	0.7384	-0.8063	2.4852	0.2127	9.2648	-0.1195	0.2112	0.1385	0.5152	-0.347	-1.7759	9.3849	-2.3889	0.2752	0.1595	0.6176	0.5638	-0.1021	-0.2522	-0.3903
-2.4873	-0.1968	9.6841	-0.3962	0.0623	-0.1222	0.3276	0.7852	-0.7857	2.7196	-0.1916	9.3845	-0.4897	0.4125	-0.0641	0.4979	-0.3477	-1.7549	9.6108	-2.1574	-0.1755	-0.2695	0.2559	0.4255	-0.0841	-0.2642	-0.3903
-1.6803	-0.7182	9.2964	-0.3066	-0.1857	-0.1349	0.3261	0.715	-0.8284	2.2646	-0.4214	9.8399	-0.3664	0.3782	-0.0358	0.5508	-0.3461	-1.7538	9.4937	-2.5648	-0.1787	-0.7323	0.1891	-0.2507	-0.1021	-0.2462	-0.3843
-1.9658	-0.4287	9.5789	-0.4293	-0.3032	-0.2341	0.3259	0.6912	-0.8278	2.3174	-0.4219	9.5509	-0.6446	0.3859	-0.0962	0.5516	-0.3232	-1.7327	9.4406	-2.564	0.105	-0.8263	0.0746	-0.5018	-0.0961	-0.2702	-0.3843
-1.7331	-0.4868	9.5833	-0.3059	-0.0358	-0.0346	0.3266	0.6663	-0.7829	2.3149	-0.0756	9.4353	-0.552	0.4489	-0.1546	0.5338	-0.3706	-1.6899	9.7862	-2.3324	-0.2295	-0.7007	-0.0662	0.0125	-0.0961	-0.2702	-0.3843
-1.8462	-0.3709	9.7538	-0.0624	-0.1917	-0.0721	0.3093	0.7131	-0.7623	2.6073	0.2707	9.615	-0.6159	0.2654	-0.1662	0.4628	-0.3254	-1.7772	9.6176	-2.2148	0.1662	-0.3607	-0.057	0.5945	-0.1081	-0.2582	-0.3782
-1.9735	-0.6026	9.1759	-0.0896	0.0347	-0.2753	0.3278	0.7609	-0.7629	2.3181	-0.1908	9.6092	-0.3958	0.4694	0.0013	0.4979	-0.3477	-1.7549	9.5613	-2.4473	0.2784	-0.4538	-0.2061	0.4645	-0.1021	-0.2582	-0.3662
