1824_acc_x	1824_acc_y	1824_acc_z	1824_gyro_x	1824_gyro_y	1824_gyro_z	1824_mag_x	1824_mag_y	1824_mag_z	1825_acc_x	1825_acc_y	1825_acc_z	1825_gyro_x	1825_gyro_y	1825_gyro_z	1825_mag_x	1825_mag_y	1825_mag_z	1826_acc_x	1826_acc_y	1826_acc_z	1826_gyro_x	1826_gyro_y	1826_gyro_z	1826_mag_x	1826_mag_y	1826_mag_z
-2.7526	2.7181	8.2855	-4.5377	-3.1569	1.2802	-1.5161	1.1923	0.0497	0.9841	3.0692	9.3273	0.4372	4.3275	-0.6429	0.4083	0.3662	-0.1681	9.8494	-2.4749	0.3559	21.5326	-5.0131	-0.6843	-0.9074	0.0348	-0.141
-2.6785	3.4081	9.0953	-8.7128	-0.5646	-0.3334	0.8196	-1.1587	-1.5113	1.0437	2.9546	9.445	0.9117	3.7443	-0.7037	-0.1321	-0.3542	0.0841	9.4466	-2.1903	0.0627	19.6888	-5.0364	-1.1824	-0.8549	-0.159	0.6708
-2.6817	3.4103	8.9201	-10.9501	1.8354	-2.4061	0.8086	-1.2505	-1.4649	0.8725	3.2427	9.5016	1.0155	3.2833	-0.5172	-0.1381	-0.3542	0.0781	9.8386	-2.191	-0.2162	18.6516	-5.4867	-1.6159	-0.9022	-0.1035	0.6184
-2.9184	2.7664	9.0991	-13.6355	3.0378	-4.0993	0.7655	-1.1563	-1.5144	0.9191	3.0674	8.9161	0.75	2.8194	-0.2363	-0.1501	-0.3542	0.0841	10.0743	-2.4184	0.2457	18.1159	-6.3967	-1.8223	-0.8869	-0.16	0.6524
-2.6269	2.7142	8.5796	-14.1635	4.1104	-6.0376	0.7843	-1.176	-1.5139	0.7582	2.3799	9.4369	1.0131	2.2077	0.196	-0.1261	-0.3602	0.0901	9.7831	-2.3046	-0.1601	18.3125	-7.409	-3.4034	-0.8701	-0.121	0.6718
-2.9788	2.1836	9.047	-13.5411	5.3143	-7.4648	0.8243	-1.1947	-1.4621	1.154	3.5862	9.2743	0.9009	1.776	0.4451	-0.1261	-0.3602	0.0901	9.9566	-1.5654	0.0726	18.0959	-8.2784	-4.3257	-0.8871	-0.1419	0.5997
-3.2745	2.9967	9.3819	-11.7027	5.8183	-6.7388	0.8029	-1.1378	-1.4782	1.0405	2.8963	9.269	0.2475	0.8482	1.1305	-0.1261	-0.3722	0.0961	10.2453	-2.1911	0.3062	18.0668	-9.1791	-5.1924	-0.8705	-0.1401	0.6711
-2.6721	1.771	9.3494	-10.1217	5.3704	-5.5075	0.8405	-1.1772	-1.4773	0.8726	2.4947	9.4397	0.8294	-0.0327	2.1771	-0.1201	-0.3602	0.0901	9.9642	-2.6456	0.4151	18.3015	-9.707	-6.5865	-0.8707	-0.122	0.6184
-2.9731	1.8297	9.3434	-6.4182	5.5806	-3.2121	0.7686	-1.1545	-1.464	0.8126	2.8394	9.3229	2.2003	-0.3498	3.1236	-0.1321	-0.3602	0.0841	10.1912	-1.7928	0.4772	18.4984	-9.4538	-7.2664	-0.8867	-0.1596	0.6702
-3.2787	2.1833	9.1001	-3.0856	4.8336	0.5434	0.7663	-1.1752	-1.5149	0.9955	2.8417	9.912	2.9382	-0.3767	2.7506	-0.1321	-0.3482	0.0961	9.686	-2.1332	0.7537	18.6667	-8.4094	-7.9391	-0.8549	-0.1405	0.6359
-3.1603	2.8258	9.0358	-1.0578	4.5687	2.8495	0.7684	-1.174	-1.4814	0.5946	2.7273	9.9038	3.2569	-0.8049	2.905	-0.1201	-0.3542	0.0901	9.6234	-2.4746	0.409	18.7621	-6.9638	-9.0059	-0.8548	-0.1217	0.6188
-3.5844	2.5951	8.8561	-1.7363	4.3461	3.2837	0.8227	-1.1569	-1.4609	0.1302	3.0144	9.6034	3.956	-1.4065	3.9185	-0.1321	-0.3662	0.0841	9.5654	-2.2471	0.3509	18.048	-5.7905	-10.1736	-0.8861	-0.0844	0.6016
-3.165	2.4209	8.7489	-1.9811	4.8348	2.7438	0.8211	-1.1191	-1.4598	1.2182	2.7247	9.5645	6.9372	-1.134	3.3463	-0.1261	-0.3542	0.1021	10.0761	-2.1908	0.3603	18.0705	-5.177	-10.5074	-0.8547	-0.1401	0.6537
-2.6175	2.8244	9.1037	-3.537	5.1931	1.1104	0.823	-1.1374	-1.4436	1.1563	2.8388	9.3295	6.237	-0.8197	1.3818	-0.1321	-0.3662	0.0961	10.1284	-1.9636	0.1326	17.4318	-4.8024	-11.1613	-0.8864	-0.122	0.6359
-3.0389	2.8833	9.0956	-4.3415	5.8623	-0.0644	0.8055	-1.175	-1.4626	0.7455	2.7797	8.7944	3.7681	-0.975	0.7212	-0.1321	-0.3602	0.0961	10.0664	-1.9638	-0.1546	16.4095	-4.971	-12.1462	-0.871	-0.1781	0.6877
-2.988	1.9567	8.5244	-4.2895	5.6516	-0.6539	0.8439	-1.2332	-1.4623	1.0403	3.0113	9.2695	2.3723	-0.6823	0.4818	-0.1381	-0.3362	0.0841	9.5021	-2.0198	0.0066	16.1372	-5.63	-12.8808	-0.8709	-0.1224	0.6007
-3.1113	2.542	8.3981	-3.6748	5.2593	-0.3319	0.8008	-1.139	-1.5117	1.0393	2.9535	9.2107	0.6016	-0.1773	0.2126	-0.1321	-0.3602	0.0961	9.5597	-2.7023	0.0071	14.7398	-5.4762	-12.9914	-0.9025	-0.1227	0.6178
-3.1711	3.0082	8.4496	-2.5728	4.4134	0.0358	0.8219	-1.138	-1.4603	0.8706	3.0696	9.3837	-1.0299	-0.2544	0.3763	-0.1261	-0.3602	0.0841	9.5023	-2.1904	0.0065	14.1172	-4.7434	-13.1513	-0.87	-0.1021	0.6546
-2.9864	2.3054	8.6368	-1.8032	3.6225	1.0238	0.8031	-1.1183	-1.4608	0.8167	3.013	9.558	-0.7551	-0.1597	0.2819	-0.1261	-0.3542	0.0841	9.3872	-1.7922	-0.0525	13.1579	-3.9821	-13.178	-0.8705	-0.1217	0.6362
-3.0473	2.8308	8.6291	-1.5551	3.2554	1.6893	0.7503	-1.1732	-1.4824	1.0943	3.0104	9.0949	0.009	0.1573	0.2756	-0.1201	-0.3602	0.0901	9.5025	-1.5079	0.0643	11.8641	-2.7667	-13.0374	-0.9348	-0.1798	0.6686
-3.2297	2.599	8.5121	-0.8572	2.8064	1.2095	0.7822	-1.0999	-1.4948	0.9276	2.5516	9.3239	-0.3066	0.3988	-0.0006	-0.1321	-0.3602	0.0841	9.4452	-1.906	0.0057	11.0062	-2.314	-12.7622	-0.839	-0.1402	0.6362
-2.7449	2.5378	8.6965	-1.274	2.1627	0.7702	0.8196	-1.1587	-1.5113	1.1569	3.1266	9.3894	-0.3146	0.6744	-0.2787	-0.1141	-0.3482	0.0901	9.5664	-2.247	0.4081	10.152	-2.1374	-12.3358	-0.8878	-0.1802	0.5985
